strain_raw,strain_cleaned,library,row,col,value,strain_mean,strain_std,z_score,reason
clminus,clminus,Lopac,C,4,1198.512,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,C,3,1353.657,2142.1757,1182.5528,-0.67,Extreme reading
clminus,clminus,Lopac,C,2,993.799,2142.1757,1182.5528,-0.97,Extreme reading
clminus,clminus,Lopac,C,1,1056.366,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,B,12,1261.175,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,B,11,1222.941,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,B,10,1210.149,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,B,9,1265.119,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,B,8,1222.826,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,B,7,1229.143,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,B,6,1273.99,2142.1757,1182.5528,-0.73,Extreme reading
clminus,clminus,Lopac,B,5,1170.099,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,B,4,909.849,2142.1757,1182.5528,-1.04,Extreme reading
clminus,clminus,Lopac,B,3,1165.22,2142.1757,1182.5528,-0.83,Extreme reading
clminus,clminus,Lopac,B,2,1114.164,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,B,1,955.63,2142.1757,1182.5528,-1.0,Extreme reading
clminus,clminus,Lopac,A,12,967.489,2142.1757,1182.5528,-0.99,Extreme reading
clminus,clminus,Lopac,A,11,1062.792,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,A,10,1067.264,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,A,9,1263.127,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,A,8,1164.713,2142.1757,1182.5528,-0.83,Extreme reading
clminus,clminus,Lopac,A,7,1176.983,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,A,6,1174.394,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,A,5,1229.777,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,A,4,1190.483,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,A,3,1136.769,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,A,2,1185.539,2142.1757,1182.5528,-0.81,Extreme reading
clminus,clminus,Lopac,A,1,1057.27,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,H,12,1065.959,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,H,11,1213.648,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,H,10,1218.684,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,H,9,1198.279,2142.1757,1182.5528,-0.8,Extreme reading
