"","Alg12-18h","Alg12-20h","Alg12-22h","ARP6-18","ARP6-20","But18","But24","CHRA18","CHRA24","cin2-18","Cin2_16hrs","Cin2_18hrs","Cin2_20hrs","Cin2_22hrs","CIN8-18","CIN8-20","CLA4-18","CLA4-20","CLA4-22","CNB1","CTF4-16","CTF4-18","CTF4-20","CTF4-22","DEP1-18","DUN1-18","ESC1-18","Gas1","GAS1-42h","Gim3-18","GIM5-18","GIM5-20","GIM5-22","HOC1-18","KRE1-18","Leo18h","Leo24h","LGE1-19","MRC1-18","MT1448","MT1448sspH-24","MT1448sspH-45","MT1448sspH-48","MT2481","MT2481-24hours","MT2481-Camptothecin","MT2481-Cantharidin","MT2481-cyclosporine","MT2481-Fenbendazole","NUM1-18","Pac10-18","Peu18","POL32-18","PPH21","Ric1-27h","Rot2-18","SAP30-18","shm2-21","SLT2-18","SLT2-20","SLT2-22","Smi1","Swe1-18","TEP1","TOP1","WT-CAMP","WT-Ciclosporin","WT-Fen","YHR087W-18","Ypt6-27h"
"AW 00215","-5.57639","-5.73984","-2.70777","-8.89612","-21.0288","-5.85556","-13.9461","-4.68029","-14.4643","-4.06947","-5.41651","-4.14965","-3.75105","-2.26099","-11.1191","-3.52639","-5.51791","-8.78037","-5.99679","-14.6669","-6.38662","-7.47603","-13.0749","-8.46054","-7.13316","-0.542388","-5.09677","-7.95706","-6.48415","-3.11358","-6.14159","-8.56443","-1.85532","-5.20706","-3.4709","-4.48156","-12.7494","-5.60889","-5.02312","-8.25314","-0.0735719","-0.0686796","-0.164235","-12.6884","-1.82736","-22.7766","-4.07566","-9.12514","-10.8777","-0.414831","-3.8103","-7.38371","-2.14701","-5.82902","-10.8824","-5.42775","-4.00336","-6.43388","-10.5915","-29.9347","-41.9087","-4.59123","-5.92729","-3.63838","-7.68878","-5.28066","-6.79832","-6.80041","-6.31635","-12.3062"
"AW 00436","-10.8242","-12.0104","-3.21143","-10.7393","-27.2619","-6.86549","-23.4214","-5.46242","-20.183","-8.20494","-5.30191","-8.34372","-3.29819","-1.90453","-7.08947","-3.7174","-7.2491","-12.922","-5.35801","-17.4795","-7.44231","-8.6055","-16.3963","-16.307","-4.9133","-0.495217","-5.85195","-7.60453","-5.33565","-0.882575","-4.07079","-6.90389","-1.97995","-10.9108","-6.00066","-5.68742","-22.0854","-5.28963","-4.74092","-7.45832","-0.0557608","-0.0394336","-0.0926501","-16.9696","0.0866101","-23.3408","-6.83675","-14.3009","-3.34034","-1.33906","-6.51282","-9.52331","-1.32931","-7.78176","-13.9653","-7.01887","-3.24245","-8.82991","-10.7109","-29.3953","-40.0743","-2.17823","-6.32048","-3.39798","-4.85568","-5.60974","-7.83563","-9.16976","-11.395","-15.8575"
"AW 00625","-33.0286","-48.7499","-52.5361","-16.9725","-45.9288","-8.16138","-35.1404","-5.67572","-21.7676","-40.6387","-26.5212","-41.2727","-55.2256","-56.0929","-41.4431","-59.9781","-23.0158","-49.8651","-55.3955","-54.5703","-9.48476","-11.1647","-25.2764","-38.1515","0.249102","1.12652","0.910377","-10.993","-44.8156","0.200152","-28.3747","-44.7274","-57.0559","0.204953","2.35031","-6.14508","-27.6589","-0.374484","-0.138855","-43.8892","-0.285076","-0.377812","-0.527391","-28.1481","-35.2264","-24.7506","-60.1074","-50.964","-16.8871","-1.00879","1.33739","-12.7946","0.914351","-49.4806","-18.1348","-3.28262","0.628084","-0.0888429","-11.9621","-33.9259","-49.3901","-61.1227","-0.30343","-43.6631","-13.7834","-50.6892","-46.7127","-43.7759","-2.13099","-20.5337"
"AW 00698","-1.34338","-0.727527","0.0684153","-1.09102","-0.791007","-1.68958","-1.61312","-1.45359","-1.05297","0.667617","0.824218","0.660366","-0.454498","0.877874","-0.103744","-0.829915","-1.00169","-1.45914","-0.0839369","-0.438898","-1.07545","-0.782819","-0.979701","-1.26366","-1.98068","-0.558896","-0.835839","-2.45224","-4.02856","-0.773034","-1.11099","-1.72863","-0.0913513","-1.00182","-1.3481","-0.968743","-2.10007","-1.6335","-0.986789","-0.618756","0.0402046","0.0565522","0.219898","-0.179809","-0.0257597","-5.82971","0.0318533","0.0850192","-1.24977","-0.922818","-0.230382","-1.3041","-0.0132363","-0.465372","-1.32109","-0.831791","-3.07634","-0.784905","-1.65701","-1.00408","-1.33384","0.227381","-1.79192","0.792495","-0.55485","-0.421691","-1.18504","-0.389805","-0.8172","-1.56922"
"AW 00801","-7.0768","-5.27837","0.300655","-8.28995","-16.648","-7.99962","-34.6957","-5.63656","-21.7551","-4.3223","-3.81991","-4.40569","0.146025","0.201123","-3.84083","-1.17502","-4.30111","-5.71658","-3.78056","-6.03266","-7.49506","-8.23121","-13.363","-10.09","-1.9836","-2.31301","-1.30868","-6.83368","-4.36636","-1.048","-2.06323","-2.68616","-0.990266","-2.36409","-1.3967","-6.11865","-27.5849","-1.64896","-1.9933","-2.08499","-0.0417428","-0.0407396","0.102135","-23.9409","-0.793034","-20.2576","-5.4721","-42.5529","-13.6968","-2.06275","-2.12629","-12.5307","-0.795437","-1.09342","-7.20506","-2.27113","-4.00572","-2.49969","-7.41837","-15.6389","-11.4585","-0.687696","-2.14936","-0.931797","-2.49211","-1.06493","-2.96968","-2.75949","-4.18565","-6.87594"
"AW 00819","0.544798","1.07837","1.50993","0.257687","0.601122","-2.06395","-1.24238","-2.42311","-2.73365","2.11395","1.62941","2.12731","0.794949","1.33663","0.663571","0.417342","-0.488041","1.77684","1.25784","0.129545","-0.385137","-0.287015","0.603296","0.410826","0.61239","0.523205","0.43076","-0.172257","-0.391407","1.02317","-0.252639","0.226144","1.3458","0.034435","0.592599","-2.75963","-4.77605","0.253332","0.473386","-0.31198","-0.0145316","-0.00509042","0.409487","0.147661","-0.170316","-0.582906","-0.565109","-0.360768","0.181868","-1.19054","-0.00402401","-3.56781","0.523379","-0.111059","-0.108841","1.24492","-2.84638","1.04886","-0.552101","0.808431","0.494889","1.31481","0.164192","1.15164","0.360005","-0.401229","-0.968803","0.23821","0.300773","0.142145"
"AW 00844","-3.83982","-1.80619","-0.978519","-8.52925","-18.3498","-4.82713","-11.6775","-4.34548","-12.3034","-3.37743","-2.83042","-3.44789","-0.230412","-0.455948","-2.37874","-1.88929","-4.63","-5.46325","-4.9811","-2.78137","-5.25875","-6.21182","-8.31832","-4.3881","-3.52372","-3.41421","-0.341181","-3.53364","-5.01278","-2.36954","-3.44924","-4.80584","-1.64848","-1.3278","-0.383182","-4.38661","-14.8662","-2.6673","-3.3347","-3.44945","-0.0347878","-0.0797806","-0.113681","-2.62317","-0.791399","-15.0384","-1.59335","-2.65729","-6.13447","-0.348615","-1.46669","-5.63885","-1.8489","-1.96102","-5.21088","-2.08991","-2.23833","-1.13277","-6.96757","-15.1646","-11.7798","-1.77855","-1.14507","-2.18181","-5.30861","-2.03483","-3.22911","-2.9078","0.256374","-4.47273"
"AW 00891","-0.467158","-0.120494","0.522204","-0.0176479","-0.835026","1.20659","0.00431952","1.22667","-0.474348","-0.332744","0.0193781","-0.356398","-2.13821","-1.61646","0.277107","-0.360409","-0.895305","0.0865061","0.574945","-0.909293","-0.666838","-1.41923","-0.684543","-0.586666","0.305169","-0.589674","-0.237203","2.29575","0.346536","0.51941","0.149857","-0.372868","-2.08204","-1.13472","-0.510569","0.560734","-1.73293","0.687772","-1.02177","-1.0945","-0.0330857","-0.0969016","0.00428987","0.294714","-1.40086","0.105797","0.0945534","-0.941845","0.177513","0.876687","-0.965223","0.558281","-0.0725521","-1.8019","-1.21315","-0.491812","0.213684","-1.54865","-0.0742397","-0.771795","-1.85645","-0.821837","-0.312029","-0.486749","-0.918384","-0.945465","0.23972","-0.833573","1.2068","-0.597111"
"AW 00925","0.480404","-0.189106","0.0265604","0.767715","0.448378","0.67111","-0.242981","0.343639","0.0225492","0.877819","0.453801","0.873787","0.174617","0.492291","-1.79004","-0.945687","-0.0601836","-0.565567","0.0814034","-1.8101","0.749417","0.590107","-0.115306","0.799113","-0.104758","2.26112","0.449664","0.584068","-0.6733","1.08178","0.604009","0.61672","0.669629","1.16951","-0.876158","0.99842","-0.371102","0.65293","0.413053","-1.78568","-0.0455993","-0.0762675","-0.188783","-0.520052","-1.55685","-0.59219","-2.89437","-0.448168","0.559131","0.572248","1.12832","0.528865","1.43296","-0.956625","0.0452555","-0.187137","1.0875","-0.263404","0.634892","0.0552074","-0.685497","-1.46031","-0.0455819","0.0305205","1.09245","-0.929","-0.158222","-0.0248528","-0.340148","0.13537"
"AW 00962","0.0869672","-0.43017","-0.00730455","0.494447","0.0642955","-1.10918","-1.38854","-0.686588","-0.533981","0.898347","1.13722","0.89431","0.0444481","0.562719","0.0110179","-0.0616633","-0.168192","0.0375901","0.311922","0.0213025","0.175686","0.323119","0.127637","0.734283","-0.0385405","1.51522","-0.292413","-0.285984","-1.05736","0.701924","-0.236134","0.10373","0.981491","0.390232","-0.573793","-0.0526971","-0.880902","-0.301004","0.00183931","-0.404557","0.0132219","0.0350255","0.233764","0.25499","-0.522913","-1.3269","-1.55725","0.919432","-14.9556","0.92311","0.626703","-1.02233","0.642007","-0.335209","0.417622","0.319526","0.890868","-1.02631","0.333708","0.268277","0.0849044","0.529301","-0.162113","0.880716","0.807994","-1.08693","-0.340348","-0.0455006","-1.0487","0.170849"
"AW 01018","0.587679","0.0358499","0.437116","0.495707","0.503764","0.0792056","-0.254465","0.481422","0.474717","0.966733","1.32249","0.962992","0.960225","1.08834","-0.24829","0.290785","1.04706","0.140887","0.0775762","0.416973","0.409751","0.757002","0.371817","0.901387","0.667841","1.38276","0.649317","0.177459","-0.248067","0.658011","0.499517","0.776318","1.50908","0.749573","0.647324","0.797593","-0.403721","0.238451","1.08461","0.206468","0.00133254","-0.00396031","-0.00635927","0.136594","0.5369","0.37507","0.117306","0.549653","0.76893","0.905709","0.599803","-0.0216244","0.886467","0.572056","0.960809","1.20336","1.44773","0.251705","0.366075","0.685009","0.515023","0.711145","0.0279195","0.949258","0.232899","1.1028","0.240563","0.243867","-0.624266","0.450695"
"AW 01055","0.355072","0.431662","0.674456","0.02176","0.0437317","-0.11439","-0.490871","0.333281","0.216205","0.557803","0.773087","0.547871","0.124277","0.392988","0.363153","-0.0258498","0.62086","-0.341136","0.46068","0.292041","0.160247","0.406298","0.251879","0.545516","-0.457826","-0.515048","-1.17489","0.587097","-0.0359636","-0.343986","-0.272561","-0.0942927","0.591344","-0.444961","-0.067252","0.0854528","-0.840041","-0.299204","-0.139614","0.160912","0.0569205","-0.00643804","-0.00760073","0.16274","0.515687","0.547343","0.913408","0.45284","0.802089","0.580247","0.269754","-0.341262","0.200667","0.574756","0.774519","-0.551044","0.410562","-0.607843","0.134717","0.464646","0.205712","0.555896","-0.702409","0.331468","0.0980568","0.101768","-0.0967604","-0.022176","-0.230538","-0.360829"
"AW 01109","0.349798","1.12025","1.27472","0.835024","0.954388","0.887367","0.917732","1.0487","1.0066","0.924597","1.30475","0.920629","0.654464","0.815645","-0.237671","0.41923","0.785461","-0.342692","0.178396","0.963117","-0.0797762","0.299832","0.458378","0.811189","1.16574","0.0481968","0.620103","-0.574583","-0.474237","0.216779","0.499429","0.428715","0.354994","0.597286","0.654787","0.59202","0.0355246","-1.32293","0.338858","0.548047","0.134682","0.0768832","-0.00499587","0.74557","0.9553","0.721815","0.425277","0.885063","-8.46974","-1.12056","0.378905","0.206359","0.504687","0.519048","0.521016","0.0923769","1.4005","0.90258","0.549911","0.88009","1.31105","0.265858","1.33994","0.67913","-0.0404395","1.38284","0.450528","0.801971","1.05482","0.375449"
"AW 01159","0.367676","0.349811","0.0563449","0.11531","0.167022","-5.37831","-13.3326","-4.25888","-12.5361","0.532832","0.32891","0.522166","0.11399","0.317363","1.09199","0.48184","0.48398","-0.015212","0.382459","0.431501","-0.865714","-0.733034","-0.332937","-0.566556","-1.70676","-0.831766","0.965016","-0.165147","-0.71333","-0.0701945","0.393034","0.255451","0.0804767","-0.108962","0.596581","-4.49495","-15.1046","0.40349","-0.286089","0.177233","0.0513382","-0.013665","-0.103754","-1.73363","-0.149456","-0.992555","-0.160884","-0.667397","-14.1642","-1.07075","0.144819","-7.04964","-1.13622","0.238911","-1.20323","0.149343","-1.07674","0.671004","-0.734017","0.393354","0.903783","0.504049","0.297262","0.563759","0.293689","0.330207","-0.0464482","0.197784","0.428128","-0.822435"
"AW 01219","-0.334362","0.238934","0.145736","0.33312","-0.24267","0.226572","0.165235","0.800387","0.570498","-0.106738","0.0981331","-0.126853","0.147725","-0.0816553","1.54748","0.302528","-0.848576","-0.1954","-0.350402","-0.388099","-0.841798","-0.855286","-0.0345808","-0.301611","-0.405614","-1.92203","-0.291823","0.595858","-0.370234","-0.301853","0.383595","-0.128966","-0.890613","0.354275","-0.0770096","0.252113","-0.2573","-0.950263","-0.0320475","-0.553961","-0.0521599","-0.096338","-0.237202","0.868483","-1.3218","0.507534","0.193035","-0.648093","0.732282","-1.3754","-0.946826","0.00626851","-0.396067","-0.454976","-0.16492","0.353863","-2.01425","0.782594","0.44013","0.128636","0.21543","-0.627178","0.556959","-0.666896","0.305939","0.525153","0.617831","0.051225","0.995003","0.0398301"
"AW 01274","-1.98591","-1.00196","-1.42162","-0.348078","-0.586255","0.626101","-0.252287","1.46234","0.356737","-0.880256","-0.762262","-0.913652","-1.86528","-2.29532","-0.324772","-0.625984","-1.49711","0.293023","-0.261744","-0.610083","-1.2115","-1.70936","-0.92643","-0.824279","-0.309209","-0.43666","-0.218293","1.63914","0.0425958","-0.557685","-0.231284","-0.544176","-2.20465","-0.513017","-1.28103","0.735595","-0.787488","0.687764","-1.13072","-0.897675","-0.0439254","-0.0345761","0.537609","0.373966","-1.82908","0.461205","-0.923441","-0.593548","0.908561","-0.1106","-1.2438","0.363264","-0.465069","-1.38616","-0.399786","-0.722198","-2.39102","-1.14258","-0.593351","-1.48771","-2.22259","-1.27322","0.177953","-1.43499","-0.868155","-1.03545","0.663503","-0.394266","1.28492","-0.645654"
"BR 00009","-1.48773","-2.32838","-2.77158","-1.03955","-0.783627","1.94943","0.72041","2.29367","1.18206","-0.531646","-1.00501","-0.557836","-2.00271","-1.5989","-4.30386","-3.55868","-0.754103","-2.55604","-1.75757","-4.02514","0.835527","0.564957","-0.528233","-0.0565321","-2.0281","0.499218","-3.59954","-2.69635","-4.17052","-4.23813","-0.597298","-0.994794","-1.58429","-0.669258","-3.70483","2.44188","0.469076","-1.26737","-3.01016","-3.72783","0.0181019","-0.0532108","-0.11783","-0.992966","-3.12739","-0.782977","-4.50796","-1.08536","0.891346","0.106383","-2.21552","1.01917","-1.90029","-3.32774","-3.04653","-3.33544","0.933967","-3.60599","0.0848451","-0.864827","-1.91254","-4.53941","-2.97636","-1.76409","-3.02024","-2.97147","-2.25506","-2.32927","-2.71418","-3.93964"
"BTB 00027","-0.507257","-0.523568","-0.735932","-2.1088","-1.56517","-3.8841","-4.54809","-3.80701","-6.4678","-0.181766","-0.840451","-0.202133","-0.803505","-0.222718","-0.900432","-0.438255","0.329163","-0.654468","-0.0643284","-0.530197","-0.49133","-0.165775","-0.347597","-0.264579","-1.26073","1.33729","-0.537758","-1.06491","-1.0726","0.013803","-1.12804","-0.723971","0.907057","0.00203269","-0.459396","-4.23362","-9.40248","-0.550461","0.476548","-0.180012","-0.0132517","0.0275979","-0.0247816","-1.62556","-0.121712","-0.624289","-0.771917","-0.431236","-0.0513122","0.66298","0.647606","-2.83581","0.620279","-0.177782","-0.452739","-0.58487","1.31974","-1.00642","-1.54809","-0.649483","-0.758599","0.0171758","-0.951012","-0.0162067","-0.344281","-0.893102","-0.551283","-0.89608","-1.02032","-0.654084"
"BTB 00084","0.365523","0.481418","0.210455","0.421138","1.00805","0.347752","0.16694","0.138944","0.603766","0.846456","0.663598","0.841157","0.209213","0.613402","-0.976092","0.0814694","-0.0126228","-0.17841","1.05223","0.240998","0.722791","0.593419","0.605224","0.930143","0.502712","0.964057","0.345137","-0.493383","-0.475376","0.372201","-0.081021","0.51433","1.12338","-0.78823","0.485693","0.572518","-0.398697","-0.789329","0.71689","0.248224","0.131544","0.0988766","0.298494","0.192734","0.359107","0.696154","0.364268","0.561217","0.808564","-0.82146","0.914949","-0.187711","0.398619","0.58002","0.581185","0.759354","2.37103","0.824839","0.215619","0.739193","0.851286","0.328084","0.551167","0.881778","-0.0472799","1.00013","-0.234533","0.207818","-1.73497","0.154973"
"BTB 00241","-0.980924","-0.18633","0.161472","-0.0136297","0.036219","-0.171809","-0.802698","-0.938422","-0.628581","-0.42089","-0.654215","-0.445754","0.0454119","0.134843","-0.390243","-0.547093","-0.579698","-0.835781","-0.110533","-0.140167","-1.58202","-0.7267","-0.566089","-1.07921","-0.449731","-0.374415","-1.72587","-2.61378","-0.0393713","0.309326","-0.675677","-0.523806","-0.409221","-1.22493","-1.07465","-1.34604","-1.37989","-1.08218","-0.318368","-1.06298","0.0162186","0.0827064","-0.0587253","-1.35897","0.234416","0.484087","-0.00476325","-0.391195","1.39174","-0.882464","-0.283838","-0.929862","-2.1905","0.418182","-3.0458","-0.559122","-1.41526","-0.738702","-1.55985","-0.829509","-0.751813","-0.24724","-1.30656","-0.667124","-2.67792","0.248089","-2.48333","-1.97176","-1.39366","-4.09578"
"BTB 00333","-1.54826","-1.43412","0.353815","-2.06872","-2.9759","-1.66913","-1.17265","-1.20558","-0.405471","-1.12718","-0.807641","-1.16324","0.290799","0.114512","0.515763","0.0697106","-0.520524","-0.146511","-0.34916","-0.0438332","-1.20782","-0.761692","-0.830743","-0.362319","0.166646","-0.868169","-0.0601672","-0.393421","-1.38619","-1.10814","-1.07684","-1.49153","0.0446496","-0.657124","-0.416884","-2.36854","-2.33496","-1.91207","-1.09991","-0.449224","-0.00941835","-0.0571882","0.0630822","-0.0798712","0.00393573","-4.21523","0.511559","-0.353687","-11.3692","-0.550608","-1.62109","-0.792335","-0.0520373","-0.0251905","0.587233","0.186265","-1.84458","-0.22043","-0.783318","-0.26833","-0.0846362","-0.0260236","-0.940608","-0.0387817","-2.90588","-0.215556","-0.879713","-0.293799","-0.348551","0.524445"
"BTB 00374","0.292838","0.652755","0.523511","-0.542159","-0.606385","1.02633","0.850723","1.24521","0.915319","-0.299424","-0.119495","-0.322573","-0.280789","0.0292533","1.20556","0.237373","0.00257619","0.0173607","0.510116","0.442766","0.0164779","-0.0307139","0.279405","0.274089","0.974754","-1.18377","0.203012","0.718883","0.037672","0.224719","0.0760197","0.251516","-0.28567","-0.368354","0.0938172","0.457773","0.165599","-1.53793","-0.14182","0.420918","-0.0413445","-0.00369716","-0.0237399","0.69739","0.574134","-0.24697","0.771551","0.925334","-0.991894","-1.20545","-0.0127701","0.459693","-0.232204","0.435553","0.6069","0.246364","-2.00475","0.915679","-0.156198","0.349009","0.305457","0.391479","-0.214785","0.338955","0.482884","0.265348","0.176142","0.344913","0.367067","0.282433"
"BTB 00441","-0.766591","0.599832","0.353641","0.488816","0.686562","1.67816","1.37855","2.9545","1.99277","0.0519665","0.251298","0.032163","0.260009","0.0801405","0.88983","0.0112047","-0.62385","0.716818","-0.0649806","-0.460109","-0.610635","-0.755792","-0.231813","-0.53928","-0.368525","-1.29231","0.402129","-3.16905","-0.46145","-0.759224","0.336499","0.277194","-0.696731","-0.808457","0.20003","1.44","1.2849","0.0921502","-0.334234","-0.563786","-0.019721","-0.0591718","0.170668","-0.434023","-0.00233387","-3.99922","-0.292906","-0.0403326","-12.8966","-1.77517","-1.15377","1.20478","-0.884666","-0.133955","-0.902307","-0.365194","-1.94187","-0.000953071","-0.604056","-0.141388","0.226272","-0.608353","0.464366","-0.79041","0.516146","-0.261837","0.0594879","0.175735","0.29854","-0.853571"
"BTB 00496","-0.985065","-0.0885906","-0.577817","-1.28908","-1.79275","0.555988","0.215425","1.33606","0.683131","-0.766293","-0.744438","-0.798469","-0.95057","-0.920907","0.160724","-0.428379","-1.4321","0.354366","-0.122646","-0.999893","-0.943518","-1.57721","-0.734331","0.0588535","-1.18307","-0.607572","-0.474261","1.95764","0.580136","-1.19683","-0.671473","-0.733529","-2.43326","0.0479497","-0.645472","-0.0235536","1.00122","-0.0270321","-1.00577","-0.738817","0.0606746","-0.000128341","0.0892098","0.402806","-1.94797","0.201335","0.561522","-0.678027","-2.23794","0.138408","-1.28593","0.664963","-1.27646","-1.42315","-0.0743654","-1.02782","0.953131","-0.654455","-0.493149","-0.492828","-1.22645","-1.25644","-0.727154","-0.818696","0.058276","-0.977945","0.342788","-0.353433","1.6456","-0.114763"
"BTB 00554","-9.30387","-10.7335","-0.814273","-2.17491","-3.40322","-2.69529","-1.51104","-1.82839","-0.940777","-22.2959","-16.8594","-22.6524","-16.5992","-9.13688","-3.28084","-0.0327567","-3.09127","-4.07595","-3.17213","-1.08184","-0.545901","-0.5295","-0.712687","-0.39012","-2.19831","2.17922","0.201237","-4.07165","-4.42234","0.866167","-3.56578","-4.13588","0.313602","2.454","0.334178","-2.92303","-2.91301","-1.1207","1.01977","-1.75803","-0.00180356","-0.0757323","0.0628487","-0.588593","-0.839052","-1.04763","-2.98526","-2.11549","-14.1657","0.679394","0.919661","-1.89758","0.581429","-0.765284","-4.81159","0.421764","-0.420791","0.0624901","-3.48214","-6.36251","-1.58885","-1.76535","-0.485983","-0.25067","-2.10918","-1.68631","-5.39372","-6.06797","0.490415","-4.18658"
"BTB 00596","-14.996","-20.6339","-11.1194","-15.6396","-40.743","-8.06603","-34.9004","-5.56705","-21.6751","-20.4717","-14.5401","-20.7994","-15.2105","-9.43249","-20.4469","-16.7996","-14.5493","-32.124","-26.1995","-44.2157","-8.31821","-10.0608","-22.4488","-30.8472","-16.0067","-11.074","-14.212","-9.55363","-11.1778","-10.7004","-10.324","-15.8484","-7.79389","-10.7485","-4.00945","-6.10173","-27.538","-10.3791","-11.3339","-18.5027","-0.0638761","-0.083893","-0.249978","-26.6291","-0.270649","-24.4756","-25.8059","-43.6611","-14.4855","-2.60909","-9.41703","-12.6882","-7.17606","-18.9922","-16.151","-16.5922","-9.25856","-5.34958","-11.3987","-32.3138","-46.4572","-5.50789","-19.3272","-8.92622","-12.2922","-19.4099","-17.7779","-23.635","-13.888","-17.7674"
"BTB 00667","0.606802","0.261635","-0.197155","0.475461","0.816866","0.0143257","0.246954","-0.312307","0.317168","1.46706","0.546367","1.47059","0.404829","0.600735","-0.370637","0.340097","1.26872","-0.329091","0.366202","0.979259","0.357739","0.826162","0.825023","0.880626","0.816853","1.82383","0.510266","0.453799","0.0714097","1.18963","0.548264","0.62324","0.687559","0.22125","0.065108","0.0782279","0.0996073","-0.165037","0.786278","0.493482","-0.018493","0.0192785","-0.0170887","0.616578","0.0180529","0.785137","0.64202","0.434368","1.14997","-1.10652","1.48876","-0.203421","0.961136","0.500038","0.568603","0.495671","1.96763","-0.161193","0.111537","1.08135","1.38277","0.583523","0.658077","0.735091","0.131293","0.694076","0.192548","0.446731","-0.983992","0.0626881"
"BTB 00694","-8.43188","-8.56291","-0.0371845","-12.1002","-29.6244","-3.34881","-2.59187","-4.05584","-7.85253","-8.90637","-9.50442","-9.06157","1.16676","1.40272","-16.606","-8.31692","-8.53466","-14.5046","-4.3859","-27.5916","-7.16633","-7.51954","-10.9699","-7.28748","-7.69353","-4.48708","-5.78723","-7.9492","-0.32503","-4.21378","-10.4677","-14.0861","-5.20131","-10.4828","-1.17054","-4.2007","-8.32768","-3.97134","-6.13629","-14.6415","-0.00398104","-0.0308135","0.0605472","-15.1562","0.110632","-1.23823","-3.11818","-8.3623","-0.541274","-1.47169","-8.37104","-5.19899","-2.30849","-12.1475","-14.6303","-8.97798","-5.47325","-2.4288","-10.2963","-26.9693","-33.8376","1.8516","-9.25341","-7.87706","-11.3915","-8.66978","-17.9021","-14.9899","-9.40718","-16.8491"
"BTB 00730","0.440683","0.889521","0.659705","0.715814","0.708515","-0.490691","-0.304186","-0.529331","0.191291","0.53336","0.55308","0.523572","-0.0293117","0.493725","1.60676","0.320552","0.200137","-0.42878","0.219815","0.707725","-0.307743","0.330382","0.530161","0.914278","0.780942","-0.660583","-0.61887","0.585017","-0.0624454","-0.624855","0.654712","1.07694","0.322651","-0.616152","0.00832995","-0.550634","-0.170121","-0.0756417","0.0826588","0.369364","-0.0353189","-0.0726944","0.388018","0.901397","-0.136626","1.04405","-0.36683","0.471614","1.15682","-1.60396","-0.343311","-0.213514","0.052909","0.254414","-0.569763","0.492687","-2.2543","0.21716","-0.235601","0.266267","0.181746","0.464695","0.0152028","0.527545","-0.00495313","0.723848","0.515168","0.611678","-0.465088","-0.238949"
"BTB 00778","0.153488","0.817834","0.658655","1.01802","0.58101","0.490888","0.829199","0.770756","0.864641","0.519439","0.314168","0.50882","-0.230916","0.143531","1.79075","0.918931","0.756506","0.457187","0.774266","0.990785","0.539776","0.455839","0.732068","0.796704","0.644583","-0.0890055","1.27701","1.65159","0.666744","0.00695343","0.440065","0.603427","0.495529","0.750175","0.991687","-0.0775371","0.231161","0.00749344","-0.397986","0.898552","-0.0167279","0.00955957","-0.195322","0.842286","0.5045","1.22426","1.58778","1.0569","1.30498","-1.16756","0.515953","0.666298","0.340518","1.05534","0.623196","-0.58623","-2.04478","0.648683","0.646357","0.680805","0.846961","1.13235","0.597494","0.942716","1.18551","0.371954","0.398008","0.754986","0.312118","0.0448257"
"BTB 00828","-3.31913","0.126971","-1.20403","-1.06652","-0.493205","-5.05249","-12.9655","-4.29596","-13.3142","-1.26482","-0.688727","-1.30334","-1.36025","-2.0816","-0.524461","-1.1492","-1.79292","-0.0930469","-0.44988","-0.882256","-1.69956","-1.70544","-1.31903","-0.855614","-0.708477","-1.46191","-0.459647","-2.2249","-2.62062","-2.01488","-1.5108","-1.50566","-1.80879","-2.25847","-0.81662","-5.14246","-19.9086","-0.655096","-0.722218","-1.40821","-0.0450753","-0.0194941","-0.0651182","-4.54622","-1.18759","-8.81218","-2.7177","-3.26745","-9.15861","-0.717723","-1.36524","-8.18665","-1.30336","-5.88851","-0.140096","-1.41244","-0.70578","-0.0194857","-0.627607","-0.0584483","0.162273","-1.48822","-0.44323","-1.14533","-1.64115","-0.00417428","-0.921073","-0.981766","-0.708639","-1.1333"
"BTB 00881","-1.19211","-0.148352","-0.163145","-0.82971","-0.888315","0.598866","0.0671391","1.06444","0.843623","-0.904619","-0.934312","-0.939326","-1.52639","-1.58319","0.447389","-0.652033","-1.06405","0.0381606","0.800129","-0.459232","-1.08834","-1.51354","-0.928745","-0.11099","-0.757152","-1.25718","-1.03094","2.34711","0.251245","-0.896451","0.0603007","-0.132862","-1.89097","-1.23001","-1.54645","0.216819","0.267865","-0.149484","-1.0362","-0.341786","-0.0334044","0.00356942","-0.13041","0.838029","-1.96334","-0.010756","0.220309","1.45333","-0.361348","-0.51349","-2.38643","0.694352","-1.05114","-1.08525","-1.0508","-0.361755","-0.206965","-0.694903","0.229105","-0.712253","-1.03324","-0.870387","-0.416582","-0.505266","0.123305","-0.366406","0.490031","0.056478","0.817534","0.0153122"
"BTB 00992","0.231936","-0.578028","-0.157325","0.302037","0.125387","0.779055","0.551742","0.766403","0.736981","0.823785","1.30685","0.818195","-0.0903336","-0.0578408","-2.1598","-0.346657","0.568885","-0.265865","0.247052","-0.468481","0.940146","0.936081","-0.00133239","0.772927","0.205636","3.50225","-0.0539381","-0.515772","0.00058082","1.95812","-0.204914","0.317886","0.283668","1.38263","-0.454573","1.22555","0.600819","0.130704","1.11773","-1.25287","-0.0136368","0.026425","-0.149742","-0.703963","-1.93318","-0.641771","-2.42179","-1.13512","0.305017","0.455129","1.1443","0.157345","0.494659","-1.04404","-0.369037","0.179242","0.452736","-0.974291","0.422661","-0.108428","-1.22379","-1.67322","0.207777","-0.681287","0.0648357","-1.89382","0.07572","0.133997","-0.900943","0.387792"
