"","Alg12-18h","Alg12-20h","Alg12-22h","ARP6-18","ARP6-20","But18","But24","CHRA18","CHRA24","cin2-18","Cin2_16hrs","Cin2_18hrs","Cin2_20hrs","Cin2_22hrs","CIN8-18","CIN8-20","CLA4-18","CLA4-20","CLA4-22","CNB1","CTF4-16","CTF4-18","CTF4-20","CTF4-22","DEP1-18","DUN1-18","ESC1-18","Gas1","GAS1-42h","Gim3-18","GIM5-18","GIM5-20","GIM5-22","HOC1-18","KRE1-18","Leo18h","Leo24h","LGE1-19","MRC1-18","MT1448","MT1448sspH-24","MT1448sspH-45","MT1448sspH-48","MT2481","MT2481-24hours","MT2481-Camptothecin","MT2481-Cantharidin","MT2481-cyclosporine","MT2481-Fenbendazole","NUM1-18","Pac10-18","Peu18","POL32-18","PPH21","Ric1-27h","Rot2-18","SAP30-18","shm2-21","SLT2-18","SLT2-20","SLT2-22","Smi1","Swe1-18","TEP1","TOP1","WT-CAMP","WT-Ciclosporin","WT-Fen","YHR087W-18","Ypt6-27h"
"JFD 03924","-0.691073","-0.536092","-1.08271","-0.834007","-0.646838","-1.20059","-1.73876","-0.79039","-0.739253","0.330795","-0.402356","0.313704","-0.447621","-0.197394","-0.327742","-0.503328","-0.369095","-1.15557","-1.08231","-0.453834","-0.956915","-0.536864","-0.657745","-1.43154","-0.585059","-0.108631","-0.131407","-0.896897","-0.975134","-0.815909","-0.551102","-0.683572","0.408134","-1.43775","-0.586006","-0.871798","-0.889974","-1.95441","-1.72376","-0.0311393","-0.00139255","0.0140282","-0.0196375","-1.4014","1.19952","0.612175","-0.163547","0.0133204","0.08976","-1.16633","-1.11355","-1.95828","0.00951078","-0.541974","-0.475239","-0.744968","-3.95934","-1.07985","-1.24484","-1.01478","-0.306306","-1.22094","0.384625","-1.09976","-1.03447","-0.764599","-0.345115","-1.60715","-0.579481","-0.713918"
"JFD 03959","-0.21432","0.552958","-0.00815968","0.603115","0.581865","1.15558","1.00908","1.27683","1.19398","-0.0216458","-0.327415","-0.0409415","0.50895","1.14336","-0.550121","0.586076","0.0305068","0.446852","0.543407","0.7056","-0.270724","-0.142534","-0.96347","-1.21721","-0.258618","-2.38095","-0.708621","-0.755957","0.0434754","-2.6498","-1.25584","-0.814839","0.843518","0.823348","1.34443","0.720027","1.49436","-2.28007","-1.9567","0.327282","-0.021958","-0.0575707","-0.08075","-0.341279","1.02918","-0.127276","0.359359","0.888386","-0.037889","-1.27547","-0.833207","0.582047","-1.44497","-0.790235","-0.923393","-0.928806","-0.588281","1.32018","-0.206241","0.939367","1.18286","-0.439841","0.0988421","2.0098","-0.0404532","0.0262781","-0.903443","-0.520822","0.467027","-0.222511"
"JM 00001","0.838776","1.65171","0.854677","-0.0853001","0.225058","0.304537","-0.435384","0.113002","-0.407855","0.548442","0.29756","0.539109","0.450651","1.43032","2.59607","0.553561","0.0632268","0.618749","-0.0831405","0.401245","0.813588","0.57586","0.0867735","-0.202705","0.0992928","0.0906231","0.105984","-0.144122","0.201273","0.117577","-0.361112","-0.330231","0.419431","0.076943","0.0849386","-0.145379","-0.0262338","-0.160147","0.879969","0.63044","-0.025374","-0.06678","0.0905007","0.58307","1.6101","0.431941","1.20154","0.836097","0.087343","-1.41286","0.221568","-0.0594582","-0.540523","0.538177","0.623575","0.890816","-0.0474661","0.993818","0.594332","0.56106","0.401129","-0.641413","-0.547611","0.0974969","0.712761","-0.0141352","0.4279","0.0875299","-0.0123684","1.86352"
"JM 00213","0.234268","0.384644","0.370132","-0.403479","0.0211945","0.749789","-0.17908","0.754222","0.00249667","-0.156628","-0.230227","-0.176703","-0.986364","-0.0854876","1.46977","-0.235701","0.696678","0.475846","0.939036","-1.71252","1.39933","0.706317","0.0561663","0.498925","0.235788","0.0686733","0.306028","-1.2239","-0.213935","2.50434","-0.295496","0.202042","0.516535","-0.307904","-0.350822","0.328096","0.0620895","-0.0677294","0.30863","-0.639857","-0.0107877","0.0177884","-0.107531","-0.387164","0.355841","-0.680418","-1.10847","-1.114","-0.318753","0.198021","0.00858724","0.810714","0.408378","-0.214769","-0.0680301","1.02868","-0.504875","-0.927166","1.38674","0.865456","0.819662","-2.39419","-0.157546","-0.862175","0.0544959","0.243834","-0.369046","0.0329458","0.0084581","2.43727"
"JM 00334","0.670585","1.16184","0.914354","-0.107662","-0.0225244","0.986625","1.22736","-0.0307581","-0.764866","0.067026","-0.200728","0.0498505","-0.803803","-0.500055","-1.39452","-2.09033","-0.477581","-1.0903","-0.816216","-1.44584","1.54799","0.733942","-0.684805","-0.314911","-0.959819","-0.49684","-0.319106","-0.049497","1.41164","0.475828","-0.243018","0.419399","-2.39206","0.354093","-0.922728","0.428487","0.496679","0.246604","0.705055","-0.857224","0.149131","0.0364394","0.21838","-0.877237","-1.37092","-0.143619","0.583383","0.290479","-1.07318","0.667705","0.0846676","1.42961","-0.0536035","-0.0998547","-3.20973","0.374635","-0.49823","-0.0664753","0.968763","-0.5238","-1.53917","-0.249359","-0.789318","-0.538566","-0.308309","0.963661","0.69946","1.39262","-0.00549524","-0.25751"
"JP 00352","-1.51704","-1.62544","-1.47658","-0.0705563","-0.515676","0.681425","0.775902","0.807698","0.466572","-0.515526","-0.1243","-0.544034","0.765211","-0.660257","-0.428096","0.865556","-1.2549","-0.189618","-0.803553","-0.747587","-1.63118","-1.17489","0.00853012","0.426949","-0.710809","-0.55823","-0.8547","0.357659","-0.616954","-1.84029","0.797168","-0.0284185","-0.765572","-0.785703","0.278548","0.872302","-0.321017","0.159491","-1.76444","-1.77888","0.00183452","-0.0220746","0.00481679","0.0609137","-1.74564","-1.687","-1.08944","-0.500627","-2.99401","-1.03997","0.024744","-0.990487","-0.950803","0.216442","-0.66276","-1.51799","-0.683394","-1.76188","-1.62969","-2.21854","-1.33021","0.167842","-0.0514548","-0.737823","-1.60713","-1.14687","-0.658712","-0.0262797","-0.642021","-3.17998"
"JP 00492","-0.79511","-1.00193","-0.929829","0.605794","0.504876","-0.987946","0.109042","-0.653797","-0.156115","-0.645062","0.251959","-0.674191","-0.0599819","-0.895549","-0.0842618","1.14832","0.190677","1.54631","0.564891","0.871978","-0.8483","-0.628218","0.210294","-0.252187","-0.272204","0.295869","0.815291","1.15417","-1.05619","-0.371731","0.985375","0.814366","0.525062","-0.241092","0.48344","0.217513","-0.40045","0.230935","-1.15624","0.507059","0.148317","0.112669","0.229218","1.50436","1.06759","1.54751","0.935741","1.8448","0.995041","-0.342074","-0.0668972","-1.32132","-0.377502","0.993388","-0.0319658","-0.0699802","0.460164","-0.48813","-1.00421","-0.447171","-0.080836","1.50066","2.06611","1.37049","-0.0292878","-0.466794","-0.0568871","-0.278887","-0.0770443","-1.96653"
"JP 00576","-4.05283","-3.13825","-0.54162","-8.8939","-20.313","-3.67048","-5.51257","-3.48321","-6.51602","-2.76308","-2.61183","-2.82605","1.19782","-0.256985","-10.6278","-0.788416","-6.07077","-2.85061","-2.01876","-18.4208","-5.46753","-6.17715","-6.77158","-0.248308","-3.56471","-2.88432","-3.87708","-7.10473","-1.62361","-2.61941","-5.42314","-7.42201","0.517264","-5.41569","-0.681793","-3.05818","-4.54559","-2.66064","-4.36518","-9.45101","-0.0200686","0.00796374","-0.0576506","-8.42296","-1.36732","-0.0880211","-2.87085","-2.33618","0.310834","-1.83227","-5.90014","-5.34827","-2.68111","-11.3232","-10.9043","-5.63857","-3.65926","-2.51067","-9.41632","-24.1695","-26.265","0.427947","-4.20691","-5.16909","-9.99037","-5.1876","-9.02015","-11.2472","-3.78163","-13.5165"
"JP 00671","-0.348628","-1.29493","-1.94954","-2.97952","-4.17995","-0.532214","-1.48526","-0.244438","-0.998194","1.12677","0.227282","1.12008","-0.710582","-0.0607256","-1.13882","-2.56794","-1.62309","-2.28889","-3.09593","-0.190321","-0.820892","-1.16616","-1.14854","-3.13197","-0.214033","0.435117","-1.25639","0.480767","-2.83466","-1.07976","-0.516759","-1.33314","-2.00553","-1.00494","-2.35639","-0.764124","-1.91316","-0.573173","0.84205","-0.712326","0.53283","1.10654","1.24103","-0.580006","-1.04878","-0.540028","-1.62255","-0.513707","0.288676","-0.316515","-0.754535","-1.3981","0.408345","-0.460943","-2.9434","0.205631","-0.232419","-0.558225","-3.71321","-6.84524","-0.662773","-1.16657","-1.23307","-1.51083","-3.71611","-1.52615","-0.839214","-1.05895","0.542164","-3.88927"
"JP 00914","-6.00898","-4.9449","-0.809777","-2.74221","-1.47306","-3.65816","-4.11685","-3.03411","-4.11604","-0.597437","-5.71537","-0.62421","-2.68288","-0.852723","-0.77046","0.760476","-0.34603","0.156982","0.880318","0.88624","-1.95426","-2.39923","-1.18371","-0.994125","0.771659","-0.375096","-0.275444","-2.30544","-0.569876","0.209119","-3.4074","-1.56142","-0.354482","-3.03808","0.0876582","-3.20827","-4.89298","-2.85778","-0.31708","1.04385","-0.0493462","-0.0664776","-0.0464824","-2.88251","-0.130823","-4.49139","-4.77149","-0.789689","-6.51781","-0.864469","-0.822207","-4.14309","-3.11774","-2.57047","-2.66697","-2.01363","-0.941753","0.715709","-1.51317","-1.42339","-0.337223","0.373605","0.242377","-0.458745","-1.4201","-0.749081","-1.73694","-2.66975","-0.952299","-1.97895"
