,ADK1_FO12_5,ARK1_BA,ARK1_F_BA,AVO1_FO12_5,BCK1_EDBA,BCK1_FODBA,BW25113_Ecoli_FO12_5,BW25113_Ecoli_S12_5,BW25113_S27_9,CAK1_FO12_5,CBK1_FO12_5,CCL1_FO12_5,CDC14_FO12_5,CDC15_FO12_5,CDC28_FO12_5,CDC28_het_F_BA,CDC28_he_BA,cdc34_FO12_5,cdc4_FO12_5,cdc53_FO12_5,CDC5_FO12_5,CDC7_FO12_5,CKA2_BA,CKI1_BA,CKI1_F_BA,CKS1_FO12_5,CLN2_EDBA,CLN2_FODBA,DAK1_BA,DAK1_F_BA,DBF20_FO12_5,DBF2_BA,DBF2_F_BA,DBF4_FO12_5,DUN1_FO12_5,ELM1_BA,ELM1_F_BA,FAB1_BA,FAB1_F_BA,FAR1_BA,FAR1_F_BA,FCP1_FO12_5,FMP48_EDBA,FMP48_FODBA,GLC7_BA,GLC7_F_BA,HOG1_EDBA,HOG1_FODBA,HRR25_het_F_BA,HRR25_he_BA,HSL1_BA,HSL1_F_BA,ILV3_F12_9,ILV3_S12_9,IPL1_FO12_5,IRE1_EDBA,IRE1_FODBA,ISR1_FO12_5,J_WT_Gal_FO12_5,J_WT_Gluc_FO12_5,KIN28_FO12_5,KSP1_EDBA,KSP1_FODBA,KSS1_het_F_BA,KSS1_he_BA,LST8_FO12_5,MCK1_BA,MCK1_F_BA,MEC1_FO12_5,MG1655_Ecoli_FO12_5,MG1655_Ecoli_S12_5,MG1655_S27_9,MKK1_EDBA,MKK1_FODBA,MPS1_FO12_5,NNK1_FODBA,NPR1_EDBA,NPR1_FODBA,PBS2_FO12_5,pdryCG196log_FODBA,pdryCG196_FODBA,pdryCG200_FODBA,PFK27_BA,PFK27_F_BA,PFK2_BA,PFK2_F_BA,PHO85_het_F_BA,PHO85_he_BA,PKC1_FO12_5,PRR2_BA,PRR2_F_BA,RAD53_het_F_BA,RAD53_he_BA,RIO1_EDBA,RIO1_FODBA,RIO2_FODBA,SCD5_FO12_5,SCH9_F12_9,SCH9_S12_9,Sc_mata_F12_9,Sc_mata_S12_9,SDS22_FO12_5,SFP1_F12_9,SFP1_S12_9,SLN1_FO12_5,SLT2_EDBA,SLT2_FODBA,SNF1_het_F_BA,SNF1_he_BA,SSU72_FO12_5,TOR1_EDBA,TOR1_FODBA,Tor1_GFP_BA,Tor1_GFP_F_BA,TOR2_EDBA,TOR2_FODBA,Tor2_GFP_F_BA,Tor2_GF_BA,TSCII_FO12_5,WT-TB50_BA,WT-TB50_F_BA,WtandRap_BA,WtandRap_F_BA,WTScer1448log_EDBA,WTScer1448log_FODBA,WTScer1448_EDBA,WTScer1448_FODBA,WTScer1450_FODBA,WT_hetdip_FO12_5,WT_mata_FO12_5,WT_pombe_FO12_5,YCK3_BA,YNK1_BA,YNK1_F_BA,YPI1_FO12_5
CD 05071,0.214048,-0.299637,0.797883,0.281564,-0.541026,0.0103168,-0.0700001,-1.10934,-1.82012,0.398598,0.127219,0.603123,0.628024,0.642096,0.632565,0.63247,-0.197451,-0.00426732,0.201122,0.206288,0.351259,0.136592,-0.436007,-0.230242,0.504091,0.377773,-2.14887,-0.184131,-0.197789,0.0723713,0.658968,0.120983,0.437608,0.65463,0.791154,-0.0878972,0.0198357,-0.349129,0.272071,-0.548296,0.245895,0.308713,-0.0938529,0.155857,-0.334442,0.320617,-3.49282,-0.280361,-13.7933,-6.40797,0.35694,0.539051,0.0574241,-0.206875,0.558239,-0.388683,0.0730385,0.336443,0.84731,-0.137429,0.541274,-0.198727,-0.30125,0.720267,-0.184033,0.428864,0.0873471,0.286779,0.367495,-0.504988,-0.592886,-0.236573,0.569434,-0.197065,0.398489,0.554031,0.469774,-0.454107,0.426425,-0.104285,0.071862,-0.14656,-0.0344224,-0.055802,-0.340975,0.417996,0.367226,-0.474623,0.896865,0.00227305,0.540115,0.381167,-0.314718,-0.0464721,0.622385,0.377412,0.332912,-0.118808,-1.19038,0.7252,-0.29156,0.221996,0.506107,-0.488025,0.343172,-3.44717,-0.00815005,0.81581,-0.171207,0.574948,0.382552,0.720206,-0.238391,0.740087,-0.260225,0.441003,0.576394,0.0463092,0.490429,-0.375521,0.221565,3.00336,3.06354,0.526199,-0.23093,-3.49956,-0.775967,0.501105,0.759541,0.132349,1.24796,0.0135799,-0.0536446,0.174918,0.300247
CD 05259,-3.48746,-12.6361,-6.85447,-11.3379,-7.47594,-27.8693,0.618623,-3.13118,-9.10053,-10.1978,-7.15818,-3.06395,-3.02125,-9.27589,-2.78858,-2.99885,-12.1921,-11.6769,-5.25244,-4.97539,-2.52458,-3.07014,-9.14503,-14.0206,-10.3992,-3.60424,-23.8279,-24.4984,-12.2307,-17.1077,-1.30649,-6.87516,-17.2297,-3.01899,-16.8734,-18.8534,-23.0521,-18.3555,-29.2803,-13.0705,-17.9976,-6.90084,-8.58067,-16.3404,-13.5208,-14.0297,-22.5606,-12.5397,-4.96246,-11.1963,-11.6951,-0.997623,-3.19537,-12.9452,-2.6371,-7.75124,-28.7316,-4.29742,-17.6033,0.931589,-3.56403,-9.23818,-29.7397,-2.8289,-11.5281,-5.7792,-10.6478,-20.2662,-2.57272,-0.122115,-0.770422,-1.28455,-8.74586,-20.0581,-3.22782,-13.0989,-8.53725,-26.7791,-2.24078,-17.3207,-8.28222,-7.13784,-12.8432,-31.0805,-13.2173,-13.3987,-2.18252,-11.3218,-1.95527,-12.1994,-12.0297,-3.44587,-11.4253,-10.4739,-4.00052,-2.6818,-2.65178,-31.5428,-10.156,-29.1839,-11.6077,-8.71134,-23.5705,-12.716,-2.73562,-23.516,-30.3481,-2.94767,-11.942,-5.31692,-6.8268,-28.8715,-9.03637,-14.2847,-11.4847,-4.73506,-26.2225,-7.19941,-9.40761,-8.62084,-10.4069,-4.20917,-4.04825,-7.19953,-4.01188,-23.7788,-2.60257,-2.8848,-2.95217,-23.5038,0.0688965,-10.8109,-13.1606,-3.01034,-3.21481
CD 05404,-1.07003,0.823071,-1.4567,-1.09339,0.366035,-0.313222,0.636277,1.66E-05,-7.59294,-0.68305,-1.01313,-0.480154,-0.557528,-0.942244,-0.709785,-0.938244,1.21278,-0.880345,-1.2338,-1.34445,-0.609801,-1.12596,0.86091,1.00012,-1.76101,-1.1164,-3.92964,-2.51727,1.18051,-1.29539,-0.964534,0.614617,-0.501703,-0.882338,-0.884765,0.951054,-0.9511,0.85476,-0.131898,1.17626,-0.670448,-1.09756,0.547997,-1.7501,1.15019,-0.308613,-1.10391,-0.987644,-0.964573,0.983378,0.517902,-1.97711,-1.13437,1.25628,-0.840841,-0.168096,-1.71722,-1.3214,-0.66188,-3.71099,-0.834721,0.852229,-1.20983,-0.649039,1.09854,-0.875018,0.917053,0.985159,-0.850235,-0.14603,-0.480533,-1.42784,1.3334,-1.45886,-0.834731,-2.18897,1.04657,-1.31707,0.160806,-5.06813,-2.36763,-7.87833,1.03443,-2.25344,0.725946,-2.05348,-0.572158,1.03229,-1.00519,0.92395,-1.80964,-0.644718,0.893977,0.88881,-1.13866,-0.947685,-0.699064,-1.30404,-0.909875,-2.3533,-0.25825,-1.32362,-0.360671,0.220121,-0.897586,-0.0123873,-0.46775,-0.490125,0.899509,-0.708197,1.10613,-1.53717,0.78811,-1.47386,0.970315,-1.01145,-1.89587,-0.155811,-0.846182,0.61188,-1.58094,-2.99219,-2.84471,0.758725,-1.96406,-2.1265,-1.44371,-0.919708,-0.926195,-2.09518,0.855791,1.28775,0.773645,-1.44621,-1.20279
CD 05753,0.242059,-0.378085,2.06482,0.198468,-7.76497,-36.2036,-2.56991,-3.16207,-10.8323,0.628702,0.784333,0.765934,0.998747,0.364367,1.1049,0.637238,-1.79463,0.653905,0.688684,0.496898,0.319326,0.378178,-0.877022,-0.693487,1.26503,0.414225,-8.6272,2.8156,-3.79393,1.57606,1.54308,-3.0886,-1.74147,0.894244,1.21133,1.01715,1.56668,-1.75372,0.572755,-0.53072,0.790033,0.0709446,-3.37671,1.95695,-2.86971,-0.976118,-17.1172,-0.286809,-0.915675,-4.49881,0.490231,2.33916,0.267599,-2.56679,0.722536,-7.68324,-25.8256,1.21071,0.784176,0.650936,0.338601,-0.804706,1.80401,0.720799,-1.52094,0.617273,-3.27906,0.438902,0.478102,-1.33794,-2.3676,-3.77578,-2.71361,1.60896,0.556177,0.950229,-4.06815,1.31537,1.67933,-14.9371,-8.0257,-1.5068,-0.906108,1.31005,-0.214606,1.34615,0.391837,-2.1074,0.561907,0.279438,1.65926,-0.122052,-6.29222,-5.74287,0.317101,-0.399953,0.597837,-1.84842,-3.86431,1.60773,-3.22215,0.170981,0.896793,-5.62443,0.437653,-23.1433,-31.3044,0.77638,-1.92616,0.614518,-3.12574,0.948875,-6.22769,-4.71329,-4.811,0.234402,-9.74332,-5.31158,0.687212,-8.02368,-6.72208,-4.71159,-4.59531,-0.682514,2.02816,-13.4975,0.889568,0.429592,0.354819,1.74012,-1.3464,-3.40984,0.0203689,1.56704,0.326716
CD 06082,0.843362,1.23225,1.15252,1.27893,0.187382,1.1109,-5.72264,-2.38273,-0.795747,1.30467,1.01558,0.975735,0.910997,1.18908,1.20298,0.95531,0.894524,0.915043,0.993302,1.16351,1.3336,1.17272,1.28077,1.67179,1.34626,1.3785,0.602915,0.867024,1.15788,0.909151,1.23283,0.491685,0.782428,1.30152,0.0470389,1.24885,0.80836,1.19368,1.28798,0.866628,1.34793,1.10511,0.639894,1.00692,0.708987,1.12891,0.197477,0.427503,0.404148,1.0024,1.25517,0.864903,1.21809,0.938559,1.35028,0.384372,1.36007,0.796359,-0.495233,-0.205308,1.54965,1.71111,0.694094,0.965012,0.815408,0.544244,0.992061,0.0574286,1.51178,-2.83626,-1.14119,-0.325114,1.63472,0.0753781,1.21986,1.01243,1.5719,0.88504,1.23365,0.320811,0.513103,0.344719,1.51371,1.1591,1.19421,0.633535,1.57223,0.909805,0.865411,1.11378,1.22207,1.31029,0.917846,0.814658,1.52707,1.60676,1.35387,1.32937,0.655009,1.2464,0.690554,1.16826,1.15776,0.673483,1.31645,0.341841,1.18561,1.09543,0.711996,0.846578,1.49354,1.90377,0.405906,0.89776,0.872851,1.42812,0.754939,0.0288638,0.931391,0.437624,1.01738,-2.80239,-2.7353,1.73992,1.16401,-0.948108,1.13229,0.910712,1.51588,0.628966,0.480437,1.19944,1.78009,1.6048,1.04176
CD 06608,-1.98767,-0.807437,-3.48934,-2.22984,-1.32922,-4.36544,-1.05185,-0.384412,-0.508872,-1.78369,-2.37744,-2.27993,-2.81074,-2.11104,-1.73621,-2.44118,-0.84439,-2.29069,-2.38274,-2.81271,-1.72114,-1.76695,-0.839057,-0.556758,-3.96329,-1.96862,-6.75114,-4.08136,-1.15578,-4.01344,-2.35234,-0.531661,-1.54414,-1.64873,-3.24139,-1.1388,-3.23387,-0.989777,-3.63259,-0.962315,-2.6239,-1.94646,-1.15893,-4.37635,-1.80549,-2.37284,-10.0257,-4.87317,-1.72625,-0.855386,-1.10028,-4.17916,-1.97739,-0.210113,-1.75986,-1.43141,-3.70525,-2.76041,-2.51389,-0.574759,-1.6578,-0.824632,-4.8158,-1.55071,-0.80527,-3.53984,-0.237727,-3.14328,-1.55219,-0.299526,0.775102,0.617375,-0.55413,-4.8721,-1.44876,-3.68352,-0.185173,-3.93575,-3.29477,-6.25991,-3.3398,-2.34995,-0.959151,-4.37303,-1.42566,-3.97294,-1.89491,-0.817177,-2.14671,-1.33055,-4.37086,-1.85915,-0.565618,-0.521662,-1.27192,-1.73955,-2.44741,-3.7247,-1.30064,-4.20872,-1.25127,-1.91228,-2.42599,-0.915894,-1.74639,-7.16163,-4.14806,-1.72679,-0.919418,-2.3069,-0.55036,-3.51919,-0.338555,-1.59434,-0.66304,-1.65074,-1.60952,-1.07109,-1.88035,-1.11898,-2.02377,-3.34947,-3.28236,-0.308543,-4.56899,-7.51568,-0.397273,-1.42477,-1.8818,-4.34262,-0.614995,-0.66224,-0.956867,-4.01842,-1.79066
CD 06678,-3.15613,-14.4458,-34.7535,-21.7421,-7.881,-36.1687,1.10572,0.50781,-0.153009,-27.5838,-29.918,-15.7905,-19.2108,-27.9149,-11.1297,-24.6911,-14.1484,-28.6539,-13.4254,-14.3247,-26.8747,-15.0387,-12.075,-15.9716,-37.8127,-4.04692,-24.0576,-25.5703,-13.1248,-31.6253,-0.741889,-7.51853,-25.1348,-3.83333,-13.7648,-20.996,-31.408,-19.2835,-33.5915,-14.3725,-35.7946,-25.5918,-9.48557,-29.225,-14.9208,-32.2064,-24.4653,-18.7672,-27.8833,-12.4003,-14.9804,-24.0729,-17.101,-15.4424,-25.3814,-7.95069,-32.149,-7.37286,-20.9775,-6.19051,-0.883233,-9.38099,-32.7322,-20.6233,-13.5406,-34.9871,-11.5613,-31.7723,-12.6172,0.456973,0.131561,0.154228,-9.41295,-30.131,-2.7863,-31.2345,-8.74606,-31.4033,-11.8908,-17.6416,-9.51625,-9.913,-13.2167,-37.2273,-16.1237,-32.279,-26.8398,-12.4749,-32.4425,-13.8933,-31.8552,-29.3763,-12.7362,-12.5275,-27.3295,-28.8966,-24.4124,-35.3919,-10.7116,-38.0848,-11.9614,-21.8121,-39.1901,-13.7795,-14.413,-23.8962,-32.2541,-27.3946,-13.3333,-16.4821,-6.95746,-32.5074,-10.8,-31.7002,-12.7467,-26.8557,-27.1001,-7.28295,-27.3495,-10.0094,-31.4261,-4.26499,-4.26707,-8.52697,-31.2182,-23.8703,-2.21654,-4.55011,-21.9666,-33.9828,0.702506,-11.0418,-15.7501,-25.3923,-9.61634
CD 06681,0.113571,1.12468,-0.186448,0.857127,-0.133131,-0.509234,-0.10359,0.267079,0.573775,0.366714,0.28366,0.716069,0.128497,0.45295,1.01316,0.139158,0.88687,0.175525,0.231637,-0.0441774,0.931714,0.568522,1.02397,1.49214,-0.647474,0.816006,-1.76479,-1.22747,1.09696,-0.672786,-0.051422,0.668126,0.891259,0.890833,0.0247024,-0.89866,-1.27046,1.15349,0.133751,1.17116,0.44787,0.944047,0.541056,-0.958009,0.719982,0.562298,-3.32007,-1.45064,0.148311,1.20415,0.503765,-0.89877,0.268332,0.708626,0.826745,-0.344909,-0.658713,0.248385,-0.0202634,-0.660897,0.826264,1.13297,-1.29252,1.07287,0.940366,-0.272309,1.06059,-0.337178,0.633254,-0.264266,-0.130644,0.0177588,1.27843,-1.60007,0.960441,-0.513322,1.20985,-0.661538,-0.489911,-0.633587,-0.676551,-2.2583,1.27539,-0.572802,0.922998,-0.852273,0.842294,0.854992,0.753976,0.903607,-0.915103,0.720269,1.09289,0.684086,0.615066,0.501257,0.693227,-0.284882,-0.115078,-0.72817,0.238828,0.635898,0.251231,0.266258,0.856332,-0.458065,-0.430758,1.26063,0.911662,0.646742,1.12925,0.0934622,0.875787,0.340007,1.07525,0.917256,0.709178,-0.475795,0.64949,0.737165,0.316629,-4.10868,-3.93884,1.10788,-1.27518,-2.76411,0.118303,1.23054,0.505774,-1.36848,0.602161,1.20843,0.919846,-0.292107,0.768208
CD 06828,-5.01645,-3.42963,-2.87918,-3.54634,-2.27024,-2.92532,-6.13728,-4.27655,-6.70013,-3.82266,-3.78912,-4.04657,-4.3735,-3.59019,-3.90532,-3.58197,-1.58965,-3.66832,-4.01309,-4.82909,-3.92839,-4.46473,-1.41821,-3.48644,-3.83414,-4.35279,-7.05923,-1.94837,-2.41848,-3.02747,-3.23127,-3.67559,-5.22677,-5.57827,-1.67109,-1.66322,-3.70105,-1.05345,-2.02594,-2.3602,-2.44523,-3.41945,-1.80958,-3.18858,-1.41641,-2.41954,-9.67158,-2.32662,-3.0154,-1.95396,-2.38955,-3.95032,-4.2445,-2.81841,-4.31365,-2.85413,-2.4914,-3.1315,-8.16788,-9.19832,-4.00499,-2.43412,-3.5806,-2.98862,-1.90042,-4.78064,-1.32517,-1.54406,-3.7392,-5.15599,-7.6289,-5.88886,-1.04108,-2.18896,-3.8087,-3.33602,-1.9408,-2.87794,-3.09094,-1.80053,-0.894038,-0.945745,-1.24186,-2.64799,-3.56185,-3.69616,-3.10592,-2.07985,-4.27647,-1.75545,-2.64531,-3.40179,-2.04793,-0.73798,-2.91231,-3.81394,-3.50008,-2.50211,-2.05627,-3.35982,-2.53787,-4.23579,-3.89492,-2.74771,-3.90487,-6.2691,-2.53678,-2.79278,-1.68296,-3.33641,-1.83757,-3.1763,-0.49598,-1.35252,-1.87373,-3.58248,-1.98687,-2.29425,-3.55949,-1.91085,-1.79607,-2.34463,-2.29765,-1.87763,-2.8574,-8.02865,-2.30726,-4.16614,-3.52356,-3.4599,-1.93827,-1.97284,-2.30482,-2.26922,-4.36945
CD 06834,-2.07577,-3.52254,-0.359143,-1.05663,-1.44596,-0.258268,-0.650615,-1.3848,-3.39452,-1.3423,-1.55324,-1.28445,-1.68332,-1.48242,-1.08055,-0.293777,-0.982187,-1.40919,-1.81075,-2.15163,-1.58982,-1.97211,-3.09067,-2.33455,-0.584751,-1.4485,-3.59703,0.552691,-0.855261,0.0508392,-0.309062,-4.73263,-6.99858,-3.26028,0.385338,-2.82069,-0.39855,-0.934758,-0.572912,-4.12183,-1.27149,-1.37636,-1.22179,-0.0232329,-2.03559,-0.867847,-3.11601,0.389018,-1.07973,-1.88915,-1.50001,0.0831495,-1.73198,-2.01013,-1.67145,-2.38179,0.346465,-0.228391,-25.7493,-6.22383,-1.10292,-0.284141,0.84339,-0.185332,-0.736709,-2.29452,-3.23551,-0.270325,-1.31056,-0.834019,0.191002,-0.281781,-0.332637,0.0319004,-1.0359,-0.440539,-0.2705,-0.0399042,0.41659,-1.80467,-1.58436,-1.66801,-2.54773,-0.775187,-1.77419,-1.13492,-1.09824,-1.38788,-0.984976,-1.4661,-0.443997,-1.09679,-1.43941,-0.829199,-1.04231,-0.900531,-1.63381,-0.843123,-3.05901,-0.704648,-2.94382,-1.8356,-1.69324,-2.69386,-1.50517,-4.98692,-0.778307,-0.834857,-1.07515,-1.26166,-1.45479,-0.938552,-1.86508,-0.685205,-1.91382,-1.72355,-17.6599,-6.04584,-1.38056,-2.9855,-1.61196,0.111649,0.109412,-0.416912,0.85103,-7.29489,-0.580741,-0.697656,-1.4612,-0.764152,-28.0364,-1.83293,-2.67148,-0.281203,-1.52587
CD 06872,-0.261413,-4.55051,-1.10022,-2.28466,-1.55068,-0.660308,-1.33563,-3.41554,-9.92493,-2.13279,-2.07448,-1.99777,-2.29187,-2.13072,-2.16401,-1.76353,-1.77002,-2.16567,-2.33499,-2.93571,-2.08973,-2.31318,-3.94254,-3.14969,-0.829596,-2.64276,-4.51821,1.43512,-1.95907,-0.186733,-0.700617,-5.53814,-13.228,-4.11556,0.150739,-4.01311,-1.21777,-2.74028,-1.54905,-4.99245,-1.69695,-2.146,-1.9468,-0.793541,-3.67227,-2.90924,-4.5439,0.218733,-1.44253,-3.10684,-1.99949,-0.437609,-2.74288,-3.03115,-2.69825,-3.30497,0.129228,-0.922385,-29.3003,-7.06956,-2.58914,-1.53164,0.17911,-1.04516,-1.59047,-3.15004,-4.484,-0.431466,-1.57318,-1.55016,-1.27617,-1.41114,-0.860974,-0.951112,-1.74407,-0.415939,-0.437253,-0.285318,-0.808641,-4.44704,-1.88944,-1.95397,-2.05356,-0.279075,-3.25484,-1.63737,-1.5326,-1.66633,-1.92928,-2.56984,-0.21603,-2.02594,-2.07078,-1.74291,-1.99683,-1.642,-2.10022,-6.24493,-4.82276,-1.06449,-4.71996,-2.11249,-1.85845,-4.27084,-1.71968,-5.36889,-1.16983,-0.817308,-1.62199,-2.46685,-2.18577,-1.36062,-3.33412,-2.61373,-2.53622,-2.19676,-20.4124,-6.39134,-1.52148,-4.01102,-2.39274,0,0,-1.59149,-0.264898,-9.76075,-1.11206,-0.903489,-2.40397,-1.00682,-35.6601,-2.13787,-3.4306,-1.02719,-2.29198
CD 06919,-2.33196,-1.72951,-0.831644,-1.65269,-0.299756,-0.423698,-4.34159,-24.947,-31.5064,-1.40932,-2.20989,-1.5681,-2.42767,-1.93431,-1.58529,-0.77384,0.265824,-1.88027,-2.38151,-0.161436,-1.61166,-2.32606,-0.836194,-0.988446,-0.821224,-1.60531,-2.39013,0.203793,0.194588,-0.428792,-0.828172,-2.12622,-2.65251,-3.19967,-0.0310358,-0.547778,-1.22235,-0.388127,-0.921545,-1.91535,-1.91306,-1.05918,0.353164,-0.334726,-0.787078,-1.13266,-0.545325,0.380624,-1.07202,-0.164316,0.495281,-0.1941,-1.99229,-1.05085,-2.07666,-0.776208,0.10314,-1.72805,-21.2156,-7.4781,-1.99565,-0.0379176,-0.0253936,-0.833324,0.296203,-2.29322,-0.996319,0.638813,-1.74881,-6.23266,-8.09712,-9.83842,0.970284,-0.546788,-1.92622,-0.399063,0.780248,-0.0868937,-0.762105,-1.37958,-0.344053,-0.5938,-0.211748,-1.21875,-0.895427,-1.16464,-1.32346,-0.08361,-2.3218,-1.0049,-1.45547,-1.58223,-0.169288,0.323318,-1.32154,-1.40721,-2.10043,-0.461222,-2.62952,-1.21056,-3.25509,-1.62594,-1.3898,-3.28379,-1.85273,-2.00158,-0.589045,-0.568027,0.134312,-1.78341,0.468964,-0.688021,0.481108,-0.0989806,0.449985,-1.30354,-11.1308,-5.16721,-1.71007,-0.512775,-0.501329,-1.86454,-1.96942,0.175429,-0.498009,-2.57781,-1.24538,-0.693218,-1.49927,-0.891497,-2.28798,-0.646421,-1.00628,-0.817839,-2.6399
CD 07342,0.167554,-2.07139,-0.878995,-1.146,-2.18357,-0.392099,-0.908067,-0.701026,-0.294801,-0.91844,-1.08054,-0.806426,-0.035478,-1.00798,-0.378075,-1.30777,-3.396,-0.159826,0.347909,-0.486629,-1.30895,-0.93659,-2.86648,-2.25293,-1.10764,-0.593735,-7.93393,-0.707154,-3.3568,-0.904122,-0.59032,-1.75591,-1.13497,-0.633573,-0.877642,-1.24816,-0.45143,-1.84044,-1.53188,-3.27338,-1.47185,-1.82709,-2.47969,-0.866859,-4.56753,-2.46405,-12.5344,-1.01771,-2.26038,-3.65182,-1.85143,-0.478107,-0.854593,-2.43101,-0.622112,-2.2208,0.0572622,-1.31225,-1.21215,2.45692,-0.413487,-2.47273,-1.18531,-1.06946,-3.09539,-0.677374,-1.82011,-1.63697,-0.826216,0.100166,1.05685,0.736751,-1.44452,-0.746351,-0.603625,-0.635962,-2.05123,-1.43708,-0.749462,-0.545935,-1.57692,-1.20247,-2.44044,-1.22326,-3.01723,-0.948398,-1.57655,-3.42806,-0.889223,-2.33867,-1.23141,-1.39681,-3.30032,-2.72251,-0.662654,-1.22636,-0.873096,0.094869,-1.57135,-0.718037,-2.54443,-1.90147,-1.2073,-3.72951,-0.778969,-10.2362,-0.218505,-1.31591,-3.32995,-0.529001,-2.32593,-0.920405,-3.29342,0.29395,-2.82161,-0.887178,-1.86912,-3.55031,-1.14244,-4.19587,-0.164552,-3.8184,-3.72001,-1.86625,-0.984972,-11.9512,1.52961,-1.16369,-0.99206,-0.885356,-6.70672,-2.33555,-2.40708,-0.624792,-0.892605
CD 08368,-0.34295,0.0836222,-1.39211,-0.279504,-1.21318,-1.96264,-0.108888,0.228145,0.4232,-0.0461528,-0.138328,-0.00975252,-0.0379842,-0.121953,0.326814,-0.360473,0.12531,-0.483736,-0.408966,0.0576282,-0.13371,-0.319617,0.277712,0.55102,-1.95039,0.271713,-4.3732,-2.33291,-0.404673,-1.63286,-0.868197,0.198175,0.0299189,0.551481,-1.04466,-0.463903,-1.03676,0.50906,-0.750517,0.425267,-0.376622,-0.215882,-0.342343,-2.37523,-0.0540828,-0.226215,-8.28866,-3.17829,-0.74718,0.612377,-0.620909,-2.2622,-0.0158964,0.359991,0.255943,-1.04946,-1.80842,-0.859494,-0.00700354,-0.121642,0.256812,-0.0477764,-3.03183,0.384143,0.302174,-0.0310276,-0.246062,-2.30286,-0.233793,-0.133311,0.18831,0.199297,-0.212576,-2.56247,0.0579962,-1.60661,0.00952303,-3.20415,-2.40265,-7.51451,-6.21426,-8.46126,-0.0845069,-2.17685,-0.288287,-1.77885,0.154455,0.208886,0.011558,-0.237516,-3.02695,-0.307766,0.230227,0.269907,0.216144,-0.333959,-0.226963,-1.52099,-1.37363,-1.80889,-0.739313,-0.81322,-0.352325,-0.195457,-0.113652,-3.6147,-0.826394,0.0956917,0.388334,-0.676742,0.219326,-1.39781,0.794757,0.224996,0.278041,-0.278445,0.0312643,-1.40083,-0.127863,0.308324,-0.422262,-4.71159,-4.59531,-0.069959,-2.75358,-6.44072,-0.731915,-0.141245,0.0944629,-1.97513,-0.334331,0.550137,-0.0313987,-1.40963,-0.729821
CD 08396,-0.180004,-4.67257,-0.48738,0.291519,-5.48139,0.0411521,0.179713,-0.452252,-0.116842,-0.192582,-0.418815,0.0155578,-0.251524,0.548587,0.433283,0.0705474,-8.39036,0.0610132,-0.142177,-0.249393,-0.225044,0.129594,-3.14631,-4.95413,-0.937847,-0.125601,-15.9333,-4.10028,-7.90773,-0.713193,0.0109354,-4.08101,-2.28145,0.0707551,-0.276822,-9.09947,-1.61947,-5.21158,-0.598954,-2.20884,0.00790321,-0.0510411,-7.7252,-2.64864,-7.2231,-0.307505,-21.0931,-8.79944,-0.471123,-6.02085,-9.22109,-1.03242,0.111673,-9.85354,0.160793,-4.08257,-0.425294,-0.286283,-0.871179,-2.81228,0.189923,-5.5785,-1.6402,0.34499,-5.06115,-0.0767003,-5.16347,-0.857706,-0.00238009,-0.45876,-0.451526,-0.354122,-4.99675,-0.964416,-0.181733,-0.921884,-6.96299,-11.5001,-0.97289,-5.42627,-0.653315,-0.65614,-3.33616,-0.807892,-4.78889,-0.580754,0.304015,-7.58626,-0.188627,-4.27965,-0.877068,0.299723,-6.84329,-7.07842,0.614336,-0.190331,0.128427,-2.65545,-3.9592,-0.851678,-4.54498,0.286473,0.152567,-4.87981,-0.153903,-16.4194,-1.81724,0.276805,-5.31617,0.356403,-4.39175,-4.51543,-4.05571,-0.468321,-6.11961,0.520802,-3.01658,-4.00647,0.201687,-4.9656,-0.308176,-3.31597,-3.17295,-7.62486,-15.6293,-21.9733,-1.33468,0.225409,0.0573885,-0.649793,-5.1527,-6.06742,-4.05558,-0.513072,0.192904
CD 08635,-0.0329108,-0.783099,1.17963,0.515021,-3.8392,0.255577,0.170969,-0.474349,-0.974416,0.728289,0.881825,0.668022,0.307241,0.738013,0.899509,0.480806,-2.44819,0.465934,0.589297,-0.184034,0.825492,0.716214,-0.325489,-1.02677,0.866305,0.419395,-19.4705,-7.03066,-3.61532,0.433085,0.930601,-0.146718,0.658125,0.993299,0.112639,0.706696,0.744701,-11.068,-9.86714,-2.67719,0.134549,0.642348,-2.52706,0.702486,-1.45619,0.100515,-9.85236,-0.552275,-0.528555,-4.23265,0.513392,0.693942,0.59652,-1.20377,0.853443,-6.36044,-5.50685,0.921038,-2.94501,0.66285,0.731398,-3.67467,-0.0325765,0.699357,-0.831163,1.0119,0.625673,0.335773,0.421472,-0.756481,-0.979532,-1.20503,-2.81515,0.0107543,0.75585,0.943534,-0.894092,0.429504,-0.286544,0.425016,-0.383087,-8.42459,-5.28642,0.314413,0.402011,1.37378,1.09069,-1.98425,0.876265,-1.63138,0.019641,0.423577,-3.79836,0.303955,0.761392,0.659928,0.611267,0.00776428,-0.569322,0.56903,-2.86608,0.556669,0.513258,-1.13522,0.927334,-22.8837,-22.3561,0.689013,-1.0263,0.825089,-3.09607,0.00388646,-1.27137,0.0924556,-0.758913,0.177172,-9.92627,-5.33787,0.771194,-3.13364,-0.00843576,-4.81207,-4.70472,-1.26198,0.662633,-22.4268,-1.17987,0.143133,0.636247,-0.160719,-38.5112,-2.14752,-0.786984,0.642354,1.05314
