"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"AW 00178","-1.12401","0.149242","-18.0383","0.345803","-1.76435","0.536391","-4.79487","-0.243353","-6.74995","0.184715","-3.92332","0.592359","-0.765899","0.511115","-1.80545","0.676463","-4.22922","0.518447","-21.2435","-3.86412","-16.1103","-0.672209","-0.748292","0.395918","-0.600438","-0.445935","-0.359887","-0.56186","-16.5157","-2.31008","-3.90328","0.213872","-2.47041","0.90561","-18.0168","0.303158","-3.19288","-0.0613386","0.148493"
"AW 00227","-1.00209","0.482779","-18.7663","0.64088","-5.16213","0.770434","-4.97755","-0.0454109","-13.473","0.66698","-8.09542","0.958058","-1.2698","0.897962","-4.42558","1.23118","-7.97697","1.01022","-31.9279","-45.775","-36.2992","-1.2336","-1.62953","0.648252","-0.576289","-1.29664","0.215116","-0.682962","-21.8227","-1.2639","-6.06445","0.444764","-4.88164","0.90561","-19.3549","1.15643","-7.17729","0.293502","0.365501"
"AW 00264","-0.102843","0.445788","-16.3465","0.17516","-0.364536","0.856578","-4.28658","-0.10176","-0.447125","0.583925","-0.720014","0.462382","-0.121656","0.744987","-0.135774","0.825135","-0.523857","0.514433","-17.3256","1.4862","0.407856","-0.3302","-0.445481","0.869639","0.295056","-0.229993","0.602708","0.231775","-8.12246","0.198342","-1.08353","0.53895","-2.07081","0.635929","-15.7183","0.850823","-1.02591","0.555557","0.247029"
"AW 00294","-0.338229","0.223224","-15.3029","0.512898","-0.78615","0.61034","-4.05252","-0.139806","-3.35913","0.380303","-1.1926","0.667537","-0.377546","0.592011","-1.04651","0.459057","-1.51344","0.31692","-31.7417","-46.0722","-35.6874","-0.61354","-0.582152","0.553033","0.481006","0.359492","0.237471","0.518747","-11.2416","-0.805025","-2.11794","0.316562","-2.68393","0.381497","-15.2883","0.694347","-2.84337","0.317479","0.322054"
"AW 00751","-0.0571983","0.269617","-15.4178","0.017843","-0.325108","0.376297","-4.16266","-0.395537","-0.728679","0.259737","-0.819855","0.247038","-0.240489","0.286061","-0.423879","0.56776","-0.75568","0.294739","-12.8031","-0.29724","-1.01964","-0.124043","-0.134634","0.553033","0.10334","0.576752","0.211785","0.656072","-8.17082","-0.0105501","-0.938279","0.205368","-0.284043","0.523963","-14.4218","0.386292","-0.152139","0.486931","0.128295"
"AW 00786","0.28933","0.399395","-13.9742","0.260481","0.114325","0.844382","-3.62073","-0.139806","0.785801","0.421831","0.194092","0.602548","0.0855293","0.672908","-0.0494089","0.825135","0.258396","0.589002","-10.846","0.59448","0","0.0186872","0.0407006","0.869639","0.755816","0.573495","0.247784","0.394667","-6.31286","0.198342","0.0807389","0.479102","0.526325","0.793644","-13.1083","0.618557","0.546881","0.5271","0.265071"
"AW 00837","0.122925","0.269617","-13.662","0.112943","0.0595771","0.61034","-3.82577","-0.48078","-0.197419","0.338776","0.189225","0.387205","0.0281377","0.511115","-0.109985","0.825135","0.0986944","0.343114","-11.2606","-0.29724","-0.815712","-0.0114503","0.0173451","0.648252","-0.479248","0.849749","0.517305","1.23035","-7.1321","-0.09445","0.352854","0.316562","0.139395","0.651178","-12.8917","0.54032","0.0226159","0.475218","0.193606"
"AW 00846","-0.864996","-0.0639194","-16.4101","-0.300338","-0.692256","0.130059","-4.10443","-0.566024","-4.77115","-0.181001","-1.85234","-0.0332938","-0.660172","-0.100787","-0.419108","0.161713","-3.49726","0.097226","-31.8154","-47.2612","-36.2992","-0.372764","-0.440872","0.11026","-0.514993","0.75701","-0.313863","0.722089","-23.2301","-3.89902","-2.55503","0.0941745","-1.15019","-0.157865","-13.7468","-0.229817","-1.23562","0.0777485","-0.0229295"
"AW 01237","0.0565956","0.186233","-10.5407","0.512898","-0.291768","0.770434","-2.43286","0.068727","-0.840949","0.463359","-0.563831","0.592359","-0.0507653","0.430218","-0.130539","0.825135","-0.304026","0.589002","-13.0887","-1.78344","-0.815712","-0.429048","-0.319532","0.11026","-0.83008","-0.679172","-0.00244386","0.0308581","-6.64811","-1.09782","-1.10788","0.24821","-1.16797","0.381497","-11.2193","0.537871","-1.09582","0.0635757","0.255095"
"BR 00076","-5.9152","-6.39171","-25.6071","-6.67201","-7.71971","-11.6551","-6.73021","-5.4721","-29.8585","-9.30252","-20.6505","-10.1151","-6.23463","-11.0797","-16.9327","-20.2796","-13.9712","-8.80312","-32.0183","-47.5584","-35.8913","-7.42804","-10.8639","-18.3291","-2.05078","-1.70914","-1.14117","-1.9497","-28.7797","-43.2392","-20.8791","-8.90403","-36.3457","-21.6051","-26.083","-5.68421","-29.4411","-9.54109","-4.34343"
"BR 00079","-6.08548","-6.60488","-25.9638","-6.82933","-7.9668","-12.0615","-6.88322","-5.68979","-31.1099","-9.62269","-21.2024","-10.4604","-6.49326","-12.3388","-17.0741","-20.7943","-14.0667","-8.80312","-32.008","-47.5584","-36.5031","-7.43808","-10.9033","-18.5505","-2.03794","-2.62229","-1.58519","-2.93198","-29.3485","-43.532","-21.3195","-9.12642","-36.7389","-21.6051","-26.1944","-12.019","-29.4061","-9.59745","-4.41063"
"BR 00087","-6.04033","-6.43811","-25.2788","-6.68179","-7.8384","-11.4706","-6.90271","-5.68063","-29.6345","-6.43302","-20.6903","-7.98971","-5.88744","-5.4741","-16.9377","-20.3483","-13.8779","-8.80312","-31.8237","-47.2612","-36.2992","-7.41932","-10.8141","-16.308","-7.34904","-23.8684","-29.0633","-15.911","-28.8549","-43.0303","-20.9477","-8.80985","-36.4809","-21.2082","-25.649","-4.32","-29.0217","-9.49086","-4.11378"
"BTB 00551","-0.647973","0.112252","-8.77288","0.417798","-1.52682","0.622536","-1.68544","-0.10176","-3.29064","0.301265","-4.32144","0.452193","-0.786517","0.133085","-2.59364","0.825135","-3.67862","0.492252","-16.2548","-5.35032","-1.63142","-1.00051","-1.12767","0.457814","-0.387981","0.231648","-0.173361","0.476531","-8.6626","-1.01392","-6.18055","0.325066","-5.03163","0.239032","-8.04362","0.845926","-5.91905","0.312265","0.244172"
"BTB 00807","-2.20912","-0.0639194","-10.2519","-0.00526081","-2.57182","0.290152","-3.05812","-0.802011","-3.55783","0.10166","-10.0953","0.18205","-1.62985","0.0521883","-12.2619","-0.244333","-9.67361","0.492252","-9.24288","-1.4862","-1.01964","-3.21993","-3.67796","0.0459892","-2.32353","0.040289","-1.00722","-0.340821","-12.5465","-1.5995","-12.0645","0.0856707","-14.5957","-0.142615","-7.44957","0","-14.8316","0.141344","0.115495"
"BTB 00808","-5.69303","-3.42501","-20.8158","-2.88931","-5.94122","-0.202324","-6.04015","-4.05525","-21.6799","-0.572177","-15.3116","-0.17346","-4.80597","-1.05391","-10.5277","-0.719114","-12.8485","-2.17829","-24.2866","-11.2951","-18.3535","-3.1684","-4.54689","-1.18711","-2.20485","0.479012","-1.17425","0.365922","-27.458","-30.5276","-18.7027","-3.5847","-14.946","-1.22134","-21.1857","-1.29577","-16.4044","-0.256309","-1.68494"
"BTB 01249","-2.26628","-1.01814","-12.0957","-1.59885","-1.72412","-1.47088","-3.97705","-2.63017","-10.0532","-1.66531","-5.53963","-1.71529","-2.39","-2.26008","-2.91509","-2.96675","-3.75034","-1.20678","-24.488","-21.9958","-32.0167","-1.18316","-1.22986","-1.31328","-2.13918","0.239023","-4.19136","-1.36388","-10.1078","-7.6197","-5.04856","-1.07761","-4.05824","-1.52152","-10.7392","-2.07814","-3.50743","-0.697877","-0.835418"
"BTB 01592","-6.00465","-6.52149","-22.0197","-6.25873","-7.67037","-11.3967","-6.35662","-5.76588","-28.899","-8.89527","-19.6593","-9.87934","-6.19911","-11.8166","-15.7728","-9.58643","-13.2724","-8.33754","-28.9874","-43.9916","-35.2795","-7.3765","-10.5412","-8.54281","0.945221","-1.06806","0.240681","-0.67932","-26.4563","-40.438","-20.0998","-8.56195","-36.1433","-19.3357","-22.9896","-6.07785","-27.6586","-8.72823","-4.22518"
"BTB 02045","-0.718618","0.149242","2.84817","0.260481","-0.840252","0.450246","1.14808","0.0778785","-3.61752","0.50087","-1.82852","0.592359","-0.838597","0.205164","-1.07645","0.459057","-2.16378","0.466058","-6.78468","-0.59448","0","-1.13398","-0.966122","-0.111126","-0.00893283","-0.194629","0.649374","0.206549","-2.13004","-1.80839","-3.18807","0.256714","-3.78647","-0.0153991","-0.223974","0.462082","-3.57734","-0.044301","0.122842"
"BTB 02100","-6.06152","-6.56789","-23.7253","-6.88177","-8.02695","-12.1476","-5.99983","-5.64259","-30.8566","-9.62269","-21.3132","-10.4706","-6.46454","-12.2579","-14.2901","-8.45459","-14.182","-8.95226","-31.1993","-47.5584","-36.5031","-7.41006","-10.9416","-18.5505","0.739368","-0.529545","0.385935","-0.234857","-28.293","-43.2392","-21.4377","-9.13493","-36.6579","-21.4627","-24.5228","-12.019","-29.3362","-9.57458","-4.42654"
"BTB 02101","-6.02346","-6.56789","-23.9213","-6.87199","-8.00353","-12.1476","-6.04343","-5.68063","-31.201","-9.54365","-21.3522","-10.4706","-6.46985","-12.3388","-13.4264","-8.30592","-14.1164","-8.95226","-31.1522","-47.5584","-36.2992","-6.14858","-10.5795","-1.2847","0.807451","0.0340146","0.548481","-0.200051","-28.1324","-43.2392","-21.4429","-9.13493","-30.0166","0.92086","-24.1096","-12.0973","-29.0916","-9.55783","-4.41561"
"BTB 02102","-5.72496","-6.28012","-23.624","-6.92443","-7.96705","-12.1476","-5.88965","-5.72783","-30.9122","-9.62269","-21.3968","-10.4706","-6.46382","-12.3388","-17.0691","-20.497","-14.1488","-8.92606","-31.2051","-47.5584","-36.5031","-7.45156","-10.9278","-18.5505","0.848294","-2.9486","-18.6117","-7.81562","-28.063","-43.2392","-21.1635","-9.13493","-36.3039","-21.4779","-24.1693","-12.0973","-29.3013","-9.49626","-4.42345"
"BTB 02152","-6.01168","-6.52149","-23.0878","-6.77689","-7.87807","-11.9875","-5.94892","-5.67148","-30.764","-9.50212","-20.8727","-10.3954","-6.46517","-12.3388","-13.7209","-8.45459","-13.9758","-8.87769","-30.9674","-47.5584","-36.5031","-7.27446","-10.3559","-7.70009","-0.0163672","0.903539","0.183602","0.946032","-27.8296","-43.2392","-21.0606","-9.01523","-36.0055","-7.34775","-23.6839","-5.84068","-29.1265","-8.06735","-4.39733"
"BTB 02153","-6.07485","-6.56789","-20.4325","-3.81989","-7.03424","-0.203098","-5.90556","-5.15714","-25.509","-3.06384","-20.9785","-9.46903","-6.11975","-10.3133","-12.8946","-5.23347","-13.9704","-6.85418","-29.9155","-46.0722","-35.2795","-4.45062","-6.59772","0.331647","-1.711","-0.266659","-0.451606","-0.27285","-27.8371","-42.7375","-20.4004","-6.34722","-14.4854","0.778394","-9.37139","0.535423","-18.4665","0.533232","-1.721"
"BTB 02162","-5.78519","-6.41052","-21.8729","-6.69157","-7.83368","-11.8152","-5.41383","-5.5665","-29.5573","-9.0654","-20.6728","-8.53248","-6.13848","-9.6029","-14.0315","-2.55586","-13.9373","-8.75474","-29.8152","-46.3695","-36.0952","-6.54598","-8.49532","-0.999047","-1.53274","0.072003","0.258812","-0.0445477","-26.6668","-41.7342","-20.6464","-8.68165","-33.0226","-0.173114","-15.0363","0.459633","-28.2527","-0.0790728","-1.13236"
"BTB 02163","-6.15374","-6.65127","-23.8977","-6.87199","-7.98507","-12.0736","-6.43322","-5.85112","-30.9313","-9.62269","-20.9402","-10.2552","-6.58814","-12.4918","-16.3936","-10.8333","-14.1944","-8.95226","-30.5044","-47.2612","-36.5031","-7.51103","-10.9474","-18.5505","-2.04919","-1.04106","-0.685801","-2.20885","-28.1435","-43.2392","-21.3392","-9.13493","-36.3482","-21.4627","-24.0347","-12.0948","-29.2314","-9.52324","-4.41419"
"BTB 02164","-6.12863","-6.65127","-23.6638","-6.77689","-7.95556","-12.0736","-6.40075","-5.81308","-30.8402","-9.42308","-21.0958","-10.3954","-6.54939","-12.4918","-14.2906","-8.75194","-14.1525","-8.95226","-30.5433","-46.964","-36.5031","-7.43438","-10.769","-8.33093","0.416731","-0.67203","0.0489732","-0.750233","-28.1248","-42.9464","-21.1585","-9.02373","-36.2521","-21.3354","-24.7505","-12.1731","-29.1964","-9.52883","-4.41158"
"BTB 02167","-1.73636","-0.0175259","-13.1463","-1.04158","-5.12968","0.043914","-2.37225","-0.990802","-14.4893","0.10166","-8.05451","-0.108472","-2.25595","0.0521883","-5.17406","-0.0956614","-8.28933","0.0226569","-17.539","-5.64756","-16.926","-1.45799","-1.92619","0.522085","0.842337","0.0510886","-1.72329","-1.86432","-17.6252","-4.14729","-7.21435","0.196865","-8.135","0.92086","-14.542","-0.232265","-7.00253","0.501215","0.0380862"
"BTB 02215","-6.11137","-6.65127","-24.4868","-6.82933","-7.9693","-12.0736","-6.57399","-5.85112","-31.0636","-9.54365","-21.2408","-10.4706","-6.57545","-12.4918","-16.805","-14.2928","-14.2098","-9.00063","-30.8042","-46.964","-36.5031","-7.48804","-10.9091","-18.5505","0.532712","-1.02273","0.664744","-1.05251","-28.4917","-42.9464","-21.3136","-9.07508","-36.4734","-21.6051","-25.358","-12.1731","-29.2314","-9.5571","-4.41467"
"BTB 02216","-2.68637","0.232627","-4.24431","0.17516","-1.97758","0.524195","-0.652","-0.0454109","-5.11552","0.380303","-17.6654","-3.69277","-1.96891","0.439036","-13.5999","-8.34589","-5.47302","0.31692","-7.45687","-1.4862","-0.611784","-6.07082","-7.25939","0.331647","0.662191","0.161354","0.56734","0.133722","-10.551","-0.303342","-8.22183","0.316562","-21.4136","0.381497","-5.26615","0.305606","-29.1265","0.268167","0.223027"
"BTB 02223","-6.0878","-6.56789","-25.0887","-6.82933","-7.9148","-12.0736","-6.72532","-5.76588","-30.6085","-9.50212","-21.1346","-10.3304","-6.52936","-12.4109","-13.5292","-7.19012","-14.1471","-8.95226","-30.7683","-46.964","-36.2992","-6.21564","-8.9723","-7.53585","-0.248492","0.713396","0.934863","0.806998","-28.5644","-42.7375","-21.2515","-9.07508","-30.1801","-0.28508","-25.4834","-12.0973","-24.5829","-9.53999","-4.41989"
"BTB 02227","-5.94933","-6.51209","-25.081","-6.82933","-7.94475","-12.0736","-6.60668","-5.76588","-30.6167","-9.42308","-21.0734","-10.3304","-6.51068","-12.4109","-14.5093","-8.49456","-14.1139","-8.87769","-30.7001","-46.964","-36.2992","-7.47905","-10.8838","-16.9103","-0.0530207","0.667599","0.4728","0.0103322","-28.5819","-42.7375","-21.2308","-9.02373","-36.1876","-19.5544","-25.5389","-12.0973","-29.0916","-9.38765","-4.41419"
"BTB 02332","-0.0646671","0.353002","-3.00901","0.450681","0.136338","0.758238","-0.678116","-0.10176","1.04987","0.742002","0.555654","0.882881","-0.187191","0.744987","0.264407","1.23118","0.0543074","0.391489","-3.41557","-0.29724","-0.407856","0.138422","-0.0132822","0.395918","0.188901","1.38623","0.566041","1.27845","-2.57791","-0.09445","0.416223","0.53895","0.378254","0.778394","-2.11588","0.691899","0.337175","0.414744","0.362644"
"BTB 02708","-1.37201","-0.286484","-11.6276","-0.680737","-2.08159","-0.867091","-4.10614","-1.90103","-8.8173","-0.779816","-6.40309","-0.949468","-1.45188","-0.568532","-3.24838","-1.53121","-4.7942","-0.517494","-30.8392","-46.964","-36.2992","-1.44164","-1.5974","0.11026","-1.22957","-0.101091","-3.59599","-2.41228","-11.4443","-4.10792","-5.67606","-0.51314","-5.8955","-0.173114","-11.4551","-1.0024","-4.48606","0.0738199","-0.267483"
"BTB 02880","-0.660589","0.27902","-7.75435","0.227599","-1.19184","0.524195","-2.89963","-0.575175","-4.8334","0.259737","-2.94355","0.462382","-0.805742","0.511115","-1.63842","0.825135","-2.39441","0.343114","-4.2436","-0.29724","-0.815712","-0.734329","-0.622737","0.77442","-1.81797","-0.723857","-0.166501","-0.164456","-7.303","-0.09445","-3.18807","0.367908","-3.35151","0.92086","-6.2081","0.537871","-3.68219","0.448231","0.16678"
"BTB 02908","-1.45765","0.186233","-9.71204","0.322699","-1.32202","0.450246","-2.26636","0.115925","-6.7005","0.259737","-3.59511","0.387205","-1.16997","0.439036","-1.99804","0.0530103","-3.04021","0.343114","-27.4979","-40.4247","-28.5499","-1.40067","-1.46723","-0.332513","-0.848949","-0.797965","-0.146368","-0.327147","-10.9411","-0.805025","-4.63612","0.154023","-6.56422","-0.427546","-8.23056","0.770136","-4.62587","-0.130955","0.25676"
"BTB 02925","-0.215418","0.27902","-7.49555","0.0800604","-0.634162","0.61034","-1.92421","-0.348339","-2.33782","0.301265","-2.05182","0.247038","-0.391546","0.511115","-0.763406","0.56776","-1.70673","0.268545","-19.0791","-7.13376","-29.5695","-0.384915","-0.474962","0.522085","-0.537943","0.39059","-0.487654","0.0385582","-5.64941","-1.09782","-1.85298","0.316562","-1.70147","0.666428","-4.17796","0.383844","-1.27057","0.396716","0.183384"
"BTB 02990","-6.05405","-6.56789","-25.525","-6.87199","-7.92943","-12.0736","-6.69964","-5.72783","-30.9436","-9.54365","-21.352","-10.4706","-6.4839","-12.3388","-13.9394","-8.75194","-14.1028","-8.95226","-30.8426","-47.2612","-36.5031","-7.17748","-10.7043","-8.20476","-1.143","0.388365","-0.22801","-0.140723","-29.0103","-43.2392","-21.4478","-9.13493","-35.9677","-6.3196","-25.4687","-12.019","-29.1964","-9.57494","-4.41703"
"BTB 03006","-6.02269","-6.56789","-25.3141","-6.92443","-7.87041","-11.9875","-6.80114","-5.76588","-30.7027","-9.50212","-20.8949","-10.4706","-6.49794","-12.3388","-17.0233","-20.497","-14.0401","-8.87769","-30.77","-47.2612","-36.2992","-7.47006","-10.8195","-18.4243","-5.76304","-13.5249","-9.88811","-8.75421","-28.4416","-43.0303","-20.9261","-9.01523","-36.5821","-21.6051","-25.1867","-12.019","-29.4061","-9.52453","-4.40564"
"BTB 03156","-5.99989","-6.4845","-24.9219","-6.73423","-7.82357","-11.9136","-6.64545","-5.67148","-30.8839","-9.50212","-20.9508","-10.3304","-6.46054","-12.2579","-17.0137","-20.7943","-13.8796","-8.82931","-30.5431","-46.964","-35.8913","-7.41006","-10.7173","-18.172","-82.6994","-28.0471","-56.1132","-18.965","-28.6405","-43.0303","-21.0502","-9.02373","-36.4531","-21.4779","-24.9939","-12.019","-29.3013","-9.50129","-4.41609"
"BTB 03252","-3.10076","0.316011","-19.777","0.240925","-5.3313","0.684289","-3.77333","-0.0926085","-13.776","0.50087","-13.7708","0.722336","-1.7172","0.672908","-5.35055","0.825135","-13.3221","-3.1498","-30.7519","-47.2612","-36.5031","-2.45053","-3.59531","-0.237293","0.497407","-1.1749","1.39986","-0.49393","-22.4291","-5.35783","-14.1447","0.376411","-12.0842","-0.030649","-21.2841","0.535423","-15.9849","-0.0506165","0.0686825"
"BTB 03261","-6.0717","-6.61428","-24.7053","-6.82933","-7.97741","-12.0736","-6.66007","-5.80392","-29.8754","-9.10693","-21.107","-10.3304","-6.4906","-12.0152","-16.978","-20.091","-14.1094","-8.95226","-30.5993","-46.964","-35.8913","-7.47456","-10.9221","-18.5505","-3.36107","-24.1258","-17.1913","-13.5298","-28.3932","-42.9464","-21.0964","-9.02373","-36.3646","-21.3354","-24.675","-12.0948","-29.1964","-9.48399","-4.39543"
"BTB 03767","-2.36403","-0.147304","-8.50486","-0.257677","-2.5151","0.277957","-2.36287","-0.215898","-14.0292","-0.339078","-9.28668","-0.238448","-2.5433","-0.181684","-3.8078","0.281619","-5.20158","0.119407","-30.2433","-46.6667","-18.3535","-1.64275","-1.94191","0.331647","1.05521","-0.129783","0.415769","-0.33155","-13.6389","-1.09782","-4.9039","0.487605","-8.08036","0.651178","-10.7849","-0.386292","-9.3093","0.323427","-0.0547521"
"BTB 03984","-0.340996","0.269617","2.17498","0.260481","-0.712776","0.524195","0.399401","-0.130654","-2.72341","0.301265","-1.78989","0.387205","-0.449068","0.511115","-0.712681","0.785166","-1.84569","0.343114","-1.55461","-0.59448","-0.407856","-0.534248","-0.68398","0.300699","1.02505","0.242522","1.08153","0.154936","0.512844","-0.219442","-2.20073","0.316562","-2.12395","0.92086","5.84722","0.691899","-1.62008","0.56782","0.246784"
"BTB 04176","-3.45917","0.149242","-13.8599","0.247156","-5.58492","0.043914","-4.74053","-1.96797","-21.62","-0.230562","-12.9114","0.387205","-3.67834","0.366957","-7.95222","0.310385","-11.8169","-0.267592","-30.426","-46.964","-36.0952","-3.06292","-4.08454","0.331647","0.0213746","0.173533","-0.237879","-0.546788","-25.3973","-26.2214","-15.0181","0.102678","-15.7004","0.127066","-15.538","0.229817","-17.5228","0.181697","-0.287258"
"BTB 04424","-6.09173","-6.56789","-23.8129","-6.73423","-7.92133","-11.9997","-6.51434","-5.72783","-28.8115","-7.78873","-20.8955","-10.1801","-6.45914","-12.4197","-16.9274","-20.3883","-14.0746","-8.87769","-30.4436","-46.964","-36.2992","-7.41377","-10.8398","-18.5505","-2.39791","-10.8215","-19.352","-9.42767","-14.3023","-14.3367","-20.9372","-8.47659","-35.8347","-20.3382","-23.5321","-6.22942","-29.0217","-9.39954","-3.94234"
"BTB 04426","-5.92416","-6.29893","-23.1297","-6.68179","-7.72334","-11.0026","-6.48962","-5.71868","-30.3609","-9.34003","-19.2403","-7.49652","-6.44915","-11.9608","-15.2811","-9.67122","-14.0837","-8.87769","-29.8942","-46.6667","-36.2992","-7.11879","-10.1794","-11.4137","-2.64786","-0.815709","0.0928382","-1.21295","-26.6348","-39.2257","-20.7763","-8.85269","-34.8384","-16.4507","-22.7276","-6.48862","-28.2527","-9.32552","-4.29975"
"BTB 04487","-4.31079","-0.230688","-18.4976","-1.63883","-7.31725","-5.04095","-2.76548","-0.830906","-26.3388","-3.313","-17.4377","-0.624526","-4.32082","-1.01864","-9.67208","-0.867786","-13.7999","-5.82838","-30.2598","-46.964","-36.2992","-4.35771","-5.61379","-1.31328","-1.31834","-0.470087","-0.779795","-1.52701","-26.6942","-37.9296","-16.6918","-0.342098","-21.7697","-1.66398","-15.3876","-0.618557","-23.6392","-1.15813","-2.22833"
"BTB 04902","-6.08232","-6.43811","-24.0266","-6.34405","-7.60619","-7.45687","-6.55483","-5.76588","-30.4072","-8.86178","-19.7302","-5.68455","-6.38838","-11.3313","-14.1559","-1.22266","-13.6217","-7.87195","-30.4288","-47.2612","-36.0952","-6.51645","-9.20479","-0.0468551","0.372648","-0.37088","-0.0334935","-0.597909","-27.68","-40.8558","-20.3377","-7.26196","-31.8899","-0.157865","-24.1195","-6.08029","-27.344","-8.70738","-4.13235"
"BTB 04959","-6.11214","-6.60488","-24.4397","-6.68179","-7.92109","-11.4706","-6.69518","-5.85112","-30.591","-9.30252","-20.8231","-9.77993","-6.53134","-12.3388","-14.6932","-2.13225","-14.0625","-8.3819","-30.6122","-47.2612","-36.0952","-6.73131","-9.44017","-0.744338","-1.48122","-0.390202","-0.842204","-0.475436","-28.2392","-42.9464","-20.8803","-8.68165","-32.924","-0.824442","-24.1914","-6.31501","-27.4489","-3.5666","-4.16278"
"BTB 04965","-3.85333","0.0658583","-19.42","-1.32065","-7.59631","-5.86658","-4.55644","-1.22823","-28.2492","-4.52003","-16.1886","-0.327668","-4.28487","0.0521883","-12.0511","0.0530103","-13.7137","-4.35706","-30.4467","-46.964","-36.0952","-4.89794","-6.92646","-0.111126","0.178736","0.0269175","0.520328","0.00824275","-28.0859","-40.4791","-18.6631","-2.45511","-25.7408","-0.570011","-21.4339","0.3154","-21.8567","-0.690754","-2.26683"
"BTB 04980","-6.04072","-5.65004","-23.5335","-6.05521","-7.85126","-9.13098","-6.53504","-5.72783","-28.6348","-6.72773","-19.9692","-6.05658","-6.41634","-11.7269","-12.3312","-2.21703","-13.9007","-4.98192","-25.793","-27.0489","-17.7417","-5.03961","-7.08725","0.617304","0.751765","-0.46894","0.173116","-1.13728","-28.1684","-40.1024","-20.0594","-5.75691","-26.5402","0.651178","-23.8246","-5.16103","-25.4217","-1.26561","-3.46207"
"BTB 05015","-0.0859124","0.195636","0.162077","0.227599","-0.199003","0.770434","0.134476","-0.22505","-0.299326","0.579908","-0.854033","0.387205","-0.109551","0.592011","-0.115607","0.933838","-0.719591","0.466058","1.26325","-0.29724","-2.22045e-15","-0.15575","-0.169094","0.743472","0.937225","1.08576","1.02616","0.887244","1.22537","-0.596133","-0.823805","0.479102","-0.796168","0.808894","2.74076","0.691899","-0.711355","0.453812","0.235387"
"BTB 05019","-2.01828","-0.10091","-9.59926","-0.395438","-1.92787","0.130059","-3.71555","-1.70164","-8.86819","-0.139473","-4.17002","-0.0982822","-2.08757","-0.334659","-2.10942","-0.353036","-3.81746","-0.025718","-7.89304","-2.37792","-0.611784","-1.3235","-1.54534","0.236428","0.318739","1.28528","-0.25302","0.592512","-11.8714","-2.89566","-5.82011","-0.0170195","-4.92799","0.111816","-9.09336","-0.305606","-4.73072","0.0574438","-0.0642549"
"BTB 05131","-2.1646","0.0194648","-11.1654","-0.0576998","-4.4771","0.364101","-1.98961","-0.642116","-15.2599","-0.0189068","-13.5355","-1.25788","-3.30275","0.0610064","-11.2699","0.0530103","-9.09005","0.097226","-29.9645","-46.0722","-35.4835","-4.35582","-4.43207","0.205479","-2.46911","-1.1194","-1.36117","-1.35555","-22.5853","-10.8832","-9.39211","0.0428294","-13.2614","0.111816","-10.2782","-0.0806862","-14.1325","0.130549","-2.19006"
"BTB 05159","-0.100018","0.186233","0.404676","0.31292","0.100779","0.524195","-0.207513","-0.395537","0.732227","0.301265","0.082237","0.387205","-0.0988385","0.430218","-0.529945","0.459057","-0.0684523","0.22017","1.19515","-0.59448","0.203928","0.0821257","-0.0592174","0.426866","-0.0121362","1.96766","0.248774","1.17616","0.708386","-0.387242","-0.0386646","0.427756","-0.0389397","0.508713","1.03952","0.462082","0.372126","0.379972","0.136851"
"BTB 05178","-6.12901","-6.60488","-25.2104","-6.74401","-7.40836","-3.56739","-6.74264","-5.85112","-30.7938","-8.98636","-20.4231","-6.7932","-6.53534","-12.4197","-9.37064","0.933838","-14.1226","-6.57006","-30.8138","-47.5584","-36.707","-5.10402","-7.82162","0.331647","1.49677","-0.211351","1.01888","-0.291446","-28.3936","-41.1897","-20.6894","-7.03139","-24.5814","0.651178","-25.5707","-6.22698","-17.8723","-9.40924","-4.35674"
"BTB 05299","-5.82945","-5.63247","-24.8747","-6.77689","-7.81071","-11.6429","-6.53596","-5.71868","-29.843","-9.0654","-19.921","-9.38367","-5.65043","-5.64164","-16.0248","-10.3698","-13.63","-8.65799","-29.8955","-46.3695","-35.6874","-7.12433","-10.7514","-17.822","-3.42717","-13.629","-19.5978","-11.704","-27.2348","-41.0236","-20.8111","-8.65581","-35.2074","-16.7766","-23.344","-4.26869","-29.2663","-9.20912","-4.16368"
