"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"JA 00056","-5.8779","-6.50492","-24.0164","-6.5146","-7.49542","-9.96867","-6.55871","-5.62788","-29.9034","-9.15485","-20.1367","-9.89037","-6.30229","-12.0236","-13.5872","-1.42627","-13.7884","-8.74861","-30.2256","-46.8529","-36.136","-6.03311","-9.77348","-2.99913","-1.0287","-1.74133","0.540756","-0.880315","-27.8643","-41.9803","-20.5848","-8.76428","-29.6407","-1.97602","-25.729","-11.8748","-26.6486","-9.18869","-4.29812"
"JA 00094","-4.32986","-0.00257054","-12.7097","0.0255124","-3.97354","0.00558586","-3.29498","-0.435317","-14.5087","0.211001","-11.0895","0.0686788","-3.2575","-0.290859","-7.33799","0.438271","-8.63835","0.199564","-9.47885","-4.8865","-1.61919","-6.28642","-6.41154","0.121873","1.02863","-0.957556","-0.024123","-1.0495","-20.6015","-4.23111","-12.0015","0.265353","-25.8639","0.777224","-10.1408","-0.60144","-24.0431","0.267574","0.0269552"
"JA 00113","-2.95859","0.0778226","-8.8412","0.462376","-4.79995","0.0908044","-2.95277","-0.460787","-8.96759","0.196607","-14.4348","0.130872","-1.24569","0.157927","-11.8479","-0.267907","-11.8994","-4.11632","-24.5813","-27.3069","-34.3088","-4.33239","-4.80552","-0.655191","-3.13059","-4.15801","-2.73764","-3.9075","-23.055","-21.2215","-12.5638","0.207337","-21.1767","-0.247677","-6.56728","-0.0700884","-26.8885","0.10139","0.127757"
"JA 00132","-0.958294","-0.0120647","-1.83348","0.433329","-1.87521","0.00558586","-0.556522","-0.32943","-3.95715","0.329569","-4.47204","0.265737","-0.241896","-0.0664659","-4.29384","-0.0201239","-5.73691","0.394283","-10.9971","-14.0846","-15.629","-2.43293","-3.0291","-0.560924","-0.972817","0.0244202","-0.356435","-0.346543","-7.20004","-1.91721","-3.72676","0.373144","-15.8723","-0.211503","-1.07251","0.0081494","-21.232","0.095636","0.0960136"
"JFD 00263","-2.99202","-0.565322","-10.1433","-0.178204","-3.14454","-0.829924","-3.98584","-2.43782","-15.9775","-0.702499","-7.72842","-0.335916","-2.4217","-1.09382","-3.34416","-1.04843","-6.13646","-0.499973","-25.9117","-43.4036","-33.5054","-1.30897","-1.57553","-1.15583","0.21147","1.00267","-0.0502649","1.00234","-13.6199","-3.6856","-8.6976","-0.547194","-5.85024","-1.3455","-11.7602","-1.28927","-4.57113","-0.957263","-0.44076"
"JFD 00511","0.273541","0.399395","5.73053","0.555559","0.196703","0.714328","2.44288","-0.127482","2.21258","0.837469","0.798205","0.805197","1.12197","0.744987","0.138458","1.03914","0.691458","0.51528","17.0966","0.287441","-0.00407856","0.243127","0.395921","0.869639","0.774631","1.72299","0.414681","1.34125","2.03099","0.958607","0.811184","0.704757","0.997215","1.17679","7.34723","0.312944","1.63386","0.489072","0.312775"
"JFD 00692","-5.3559","-5.10279","-23.4604","-6.38633","-7.35203","-8.2373","-5.79789","-5.33836","-30.8004","-9.33076","-17.7916","-6.15539","-6.0798","-11.0556","-9.82216","-3.58819","-13.5679","-7.43285","-28.4316","-47.1403","-36.3359","-4.89535","-6.31735","-3.52269","-0.186287","0.401191","0.203155","0.530283","-27.7712","-40.1458","-19.4354","-6.50069","-19.8493","-6.03202","-21.7881","-9.52688","-12.5588","-6.68354","-4.02192"
"JFD 00787","-5.55258","-4.27987","-19.5434","-3.75422","-6.33988","-2.31595","-4.69803","-3.70312","-23.2935","-1.94659","-17.4312","-3.75858","-4.23441","-2.31281","-12.2527","-3.136","-13.3338","-6.68043","-26.402","-45.9906","-34.1049","-5.70499","-8.51899","-4.23479","-7.65823","-4.78653","-1.88989","-1.35354","-25.2272","-28.5434","-19.1667","-5.43135","-26.7614","-4.09888","-19.0231","-4.48146","-25.0373","-7.95966","-3.05536"
"JFD 00883","-6.10188","-6.5948","-22.6441","-6.60778","-7.8686","-12.0263","-5.72131","-5.82134","-30.5792","-9.40705","-20.8828","-10.3054","-6.29256","-12.248","-16.9141","-20.4808","-13.7694","-8.87523","-25.6753","-45.7031","-35.7282","-7.40319","-10.9173","-18.5825","-6.92486","-14.95","-24.2141","-8.41895","-28.329","-42.658","-21.0675","-9.00459","-36.2344","-21.3884","-22.4907","-11.8088","-29.0483","-9.17868","-4.32947"
"JFD 00907","-5.19287","-0.598244","-20.2871","-5.53034","-7.78048","-9.85857","-5.53803","-4.99389","-24.3002","-0.736463","-19.649","-4.63976","-2.55101","-0.0664659","-13.5334","-1.60592","-13.7461","-8.24941","-25.5459","-46.5655","-35.5283","-6.66644","-9.44449","-1.09086","-1.08912","-4.36876","-7.46454","-5.07165","-27.8599","-41.8977","-18.077","-2.5134","-33.7506","-0.493655","-8.67048","0.00407113","-28.2255","-2.05255","-0.903536"
