,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00231,0.559583,0.0965581,-0.175661,-0.12267,1.36556,0.279861,-0.00088855,1.23384,-0.202986,0.418448,-1.44512,0.0903802,0.58789,0.0830949,-0.348201,0.316603,0.486721,0.393572,-0.588688,0.213426,0.934785,-0.0281412,0.104356,-0.666276,0.411515,0.571538,-0.0577165
LOPAC 00232,0.127323,1.64902,0.152106,-0.0507017,-1.16339,-0.271916,-0.159534,-0.100776,-0.437678,-0.296126,0.953417,1.2549,0.183291,0.933626,0.64992,0.119349,-0.492768,-0.388042,1.13363,0.438682,-0.796068,-0.416265,-0.291429,-0.0673,-0.195864,-0.204799,-0.592895
LOPAC 00233,-1.03727,-0.413829,0.463604,0.408401,1.33588,0.626777,-0.403845,-0.33848,-0.267883,0.537474,-0.149902,0.308921,-0.54489,0.33009,0.571895,1.24923,0.13611,0.000484414,-0.442786,1.02721,0.164566,0.546316,0.581454,-0.0537913,0.1329,0.811285,0.488043
LOPAC 00234,0.345511,0.73743,0.730542,-0.282654,-0.451894,-0.323499,1.10004,0.110369,0.785956,0.25317,0.364168,0.00041923,0.136114,-0.866677,-0.492085,-0.118112,0.192294,-0.503067,0.191383,0.611357,-0.045834,0.381326,-0.0289084,-0.275357,-4.20081,-1.04332,-0.232839
LOPAC 00235,-0.148375,0.382868,-0.200435,0.393596,0.0937983,-0.359165,-0.924181,-0.349742,-0.84361,-0.21361,-0.68323,-0.195401,-0.851926,0.442128,-0.0489173,-0.346313,0.461681,-0.158528,-0.388023,0.0189108,0.0213742,0.965026,1.00093,0.570087,0.299742,0.208522,-0.811712
LOPAC 00236,0.280538,-0.508844,-1.37795,-0.486448,-0.920953,0.206935,-0.965106,-1.1944,-1.30939,0.278313,0.0252363,-0.340373,-0.0578114,0.921369,0.103942,-0.160333,-0.15997,-0.960873,-0.0287909,-1.38501,-0.171434,-0.750969,-0.17298,-0.161727,-0.986871,0.528303,1.13163
LOPAC 00237,-1.2611,1.96769,-2.09234,-1.4064,-0.728051,0.396027,-0.96787,-2.16406,-0.976728,-1.34595,1.57789,-1.17747,0.131437,0.463973,1.47764,-0.243501,-0.199071,-1.45818,-0.330193,-1.48353,0.536617,0.785492,-0.188264,0.382823,2.59365,0.970032,-0.189791
LOPAC 00238,-0.139115,-0.493665,0.961337,0.0925569,0.339482,0.0594135,0.591372,0.101383,0.590114,-0.80152,0.926052,-1.22567,-0.4363,-0.566519,0.165796,-1.11789,-1.03161,-0.459098,-0.0991548,0.45106,-1.06469,-1.21106,-0.954546,-0.829087,1.08719,-1.61896,-0.286432
LOPAC 00239,-0.343572,-6.53879,-0.958327,-0.464492,-1.20524,-0.759803,-1.40664,-1.43795,-0.0229859,-0.255777,-0.71882,-2.43918,-0.334081,-6.31057,0.171877,-0.15199,-7.20852,-1.6386,-0.304088,-0.227287,0.193794,-0.649284,-6.51579,-0.107609,-1.17614,-0.541576,1.7174
LOPAC 00240,0.589216,-0.131031,-0.87851,-0.267864,0.459342,0.56597,-0.510553,0.17586,0.530147,0.415234,-0.305572,0.294359,-0.651993,-0.190042,-0.268263,0.554031,0.597796,0.0155666,-0.316569,-2.3126,0.597571,0.548357,0.0482533,0.271801,0.322567,0.201049,0.218336
LOPAC 00241,0.205208,-0.0473598,-0.0871249,0.314106,-0.408992,-0.0819299,0.353762,0.284999,0.103749,0.560991,0.0409662,-0.0637265,-0.489292,-0.277637,-0.369667,0.236576,0.482307,-0.420316,0.0461252,0.230987,-0.78252,-0.249789,0.130751,-0.336307,0.0230696,0.279643,-0.218356
LOPAC 00242,-0.439915,-0.122919,-0.407052,-0.38883,-0.254717,0.0956787,-1.12693,-1.4602,-0.310937,-1.18069,-0.479168,-0.643586,0.240706,-0.0340253,0.740127,-1.07182,-0.265314,-0.129021,-0.00140299,0.117284,0.0577681,-0.689219,-0.120338,0.310233,-0.301088,0.0903575,-0.224235
LOPAC 00243,-1.46975,-1.05812,-0.501858,1.30148,0.0504851,0.0589062,-0.292203,-0.0507687,0.425433,-0.600694,-1.63162,-0.201914,-1.22381,-0.193427,-0.306513,-0.476334,-0.0661393,-1.22803,0.437207,0.115395,-0.697758,-0.831414,0.0876516,-0.780318,-1.89839,0.215257,0.200774
LOPAC 00244,0.291823,-0.361311,-0.195193,-1.87044,0.369851,-0.320122,0.160916,0.108655,-0.452763,-0.376955,0.330073,0.23103,-0.0100071,0.0163127,-0.299533,-0.651487,-0.101271,-0.379783,-0.328594,-0.106374,-0.224205,0.301539,0.0167152,0.419655,0.0352472,-0.481423,-0.543497
LOPAC 00245,-69.3484,-1.51528,-8.06016,-14.9541,-28.0877,-3.49648,-29.1415,-38.1914,-13.7393,-21.2886,-2.35246,-0.821405,-1.46053,1.17074,-0.0964526,-18.0206,-2.05886,0.159327,-10.1027,-16.4766,-0.321931,0.684351,0.165011,0.723893,-0.241577,-20.8513,3.41836
LOPAC 00246,-0.953493,-1.52111,-0.47068,0.707632,0.058253,-0.172,-0.381369,-0.675584,-0.675522,-1.00297,-0.462809,-1.64611,-1.66902,-0.543671,-1.03684,-1.47778,-0.917839,-1.81321,1.18688,-0.985302,-0.786027,0.295476,0.26533,-1.23624,-1.36362,0.403574,-0.121184
LOPAC 00247,-0.853802,-7.67178,0.542433,0.58853,-1.53487,-0.513042,-1.02733,0.113875,-0.617296,-0.691995,-0.873648,-6.8348,-0.202573,1.91972,1.36213,-0.226414,-21.4968,0.475284,0.00989668,0.328592,0.990609,0.422002,1.00357,0.736437,0.428962,-0.111052,0.301293
LOPAC 00248,-2.29437,-1.21937,-2.40326,-0.986446,-1.17393,1.8177,-2.58836,-1.57701,-1.40244,-4.2401,0.138842,-0.213597,0.119871,-0.52975,0.0613487,-2.70346,-1.28228,-0.0125811,-1.42948,-6.17954,-0.0494256,-2.22573,-0.663391,0.134695,-0.346667,-1.00812,0.64269
LOPAC 00249,-66.7485,1.20052,-5.73457,-6.21332,-5.36256,-1.13334,-17.0713,-10.1571,-8.3254,-8.14194,-0.111304,0.0135585,0.52232,1.67209,0.166405,-8.48641,0.507003,0.422328,-6.62853,-10.3476,-0.55331,-0.527502,-0.304064,0.497791,0.241512,-11.8664,1.17826
LOPAC 00250,0.0348136,-0.0617862,-0.496671,-0.173077,-1.64421,0.419382,-1.5052,0.264094,-3.15967,-0.551977,-0.0713077,-0.116293,0.0992958,1.40012,-0.349199,-0.80744,0.608692,-0.0543358,0.219682,-0.295206,0.0307404,0.650789,1.47853,1.33982,-0.466283,-1.00352,0.891606
LOPAC 00251,0.561132,0.309581,-0.555432,0.767135,-0.160584,-0.435284,0.948868,-0.738402,1.08392,0.106152,1.05199,-2.02544,1.01221,1.66049,2.97596,-0.00898578,-0.47065,-0.128839,1.04485,0.279025,0.549678,-0.243898,-0.692136,1.01481,-0.508873,0.729231,1.07697
LOPAC 00252,-8.00531,-0.322622,-3.38956,-3.32317,-0.340198,-1.86228,-11.3803,-10.5777,-5.97998,-4.84554,0.472998,-0.368754,1.38317,-0.930118,-0.162054,-5.72222,-1.15163,-0.433538,-6.73928,-5.47743,-0.792054,-3.49931,-1.26472,-0.564466,-0.334815,-8.37094,1.70624
LOPAC 00253,-1.08799,-0.32169,-2.4273,-1.47386,0.0444553,-5.67371,-1.19885,-2.88872,-2.15727,-0.897613,-0.383674,2.56934,2.05338,-1.57642,-1.26733,-0.894515,-0.153474,-0.309357,-1.24568,-7.37818,0.85614,-0.94178,-1.96228,0.305969,-2.41791,-1.19685,-0.903976
LOPAC 00254,0.121134,0.316463,0.373664,-3.77388,0.882974,0.233699,-0.522716,-0.320646,-4.37302,0.203659,-0.988433,0.0480277,-0.729985,-0.088664,-0.129249,-0.482349,0.345633,-1.21263,0.11952,-0.0680219,-17.6335,-5.87787,-4.05173,0.49629,0.679299,-0.149003,0.430362
LOPAC 00255,-0.538,0.242209,-0.886739,-1.31869,-0.291336,-0.254804,-2.26969,-1.39955,-1.76498,0.103913,-0.633706,1.53325,-0.55086,1.55514,1.82507,-0.210213,0.69049,-0.250002,-0.107788,-4.20864,1.18293,1.07847,0.373242,1.48346,-1.19871,-0.705764,2.10651
LOPAC 00256,-0.188297,0.250928,-0.899247,-0.664786,-0.345314,1.15199,-0.694067,-1.73593,-0.82319,0.533395,0.231409,0.63792,0.536285,0.918652,0.804389,0.49474,1.67,-0.304207,-1.10618,-0.0957455,0.25698,0.330909,2.19238,0.931725,-0.164022,-0.407093,0.317613
LOPAC 00257,0.997138,-0.199807,-0.553484,-0.149587,0.954294,1.1304,0.00127139,-0.622694,-0.360449,1.07449,-0.383988,0.51817,-0.854146,0.790161,0.578647,1.56281,2.27396,-0.475643,-0.322679,0.493465,0.586115,0.898341,-0.796136,0.955343,-0.216718,-0.722375,0.345243
LOPAC 00259,-0.616141,2.52214,0.164672,-0.554019,0.565793,-0.329716,-0.00376249,-0.547364,-0.145864,-0.789773,0.46496,0.681767,0.739245,-1.49336,-1.45712,-0.49782,-0.646274,-0.416882,0.57232,2.3309,-0.898757,-0.88565,-1.77713,-0.90218,-0.684227,3.35762,-0.61932
LOPAC 00260,0.375657,-0.427092,0.0836322,0.368535,0.523148,0.835329,0.284781,-0.285298,0.377382,0.839775,-0.333842,0.156394,1.21813,1.17614,-0.321901,0.652288,0.454968,0.260151,0.87016,0.209619,0.502837,0.213242,0.837173,-0.0234286,0.694945,2.13924,0.0450465
LOPAC 00261,0.32515,-0.611462,-1.32949,-0.0708805,-0.487616,-0.155466,-0.834637,-0.72843,-0.888723,-0.194541,-1.48243,-0.00700113,-0.659541,0.283041,0.263458,-0.519981,0.738676,0.32274,-0.405057,-1.87989,-0.195012,-0.365555,-0.523975,-0.0896956,-0.170687,0.609853,0.123776
LOPAC 00264,-0.543461,-0.315507,-1.49319,0.95113,-0.51886,-0.764887,-1.52833,-0.868134,0.113146,-3.27243,0.851759,-0.682294,2.18721,0.184372,0.103632,-4.83414,-0.237604,0.423449,-0.769303,-2.55167,-0.156454,0.55036,-0.69847,0.00109054,-0.0305502,-1.08188,0.375114
LOPAC 00265,-21.6721,-1.51317,-20.6431,-6.48786,-24.8898,-9.64883,-33.02,-28.7564,-26.4316,-35.0382,-9.06839,-1.99455,-0.0709446,-1.91746,-1.16304,-29.5976,-13.3002,-0.4878,-9.59246,-22.2739,-1.86911,-0.716407,-11.2326,-1.1454,-0.200178,-21.2338,-0.236972
LOPAC 00266,-9.13228,2.02126,-6.37923,-2.21509,-9.69818,-2.14656,-23.2959,-9.19085,-14.5576,-14.9025,-0.159744,0.0747458,0.964323,-0.250227,0.112625,-13.6878,-2.4381,0.644491,-6.52303,-14.963,0.760171,0.673673,-2.72097,0.391356,0.556433,-13.1852,1.40063
LOPAC 00267,-13.6374,0.985403,-8.57964,-2.42387,-10.9657,-2.29857,-24.474,-14.8413,-15.3412,-16.1563,-0.193917,0.412249,0.650742,0.471653,0.354014,-16.8199,-1.94117,0.559574,-7.18251,-19.1618,-1.20971,-0.414939,-2.19097,-0.292179,1.04782,-15.6698,0.725157
LOPAC 00268,0.206318,1.01032,0.86844,1.27378,-0.224141,0.00849048,0.844597,0.732595,1.04274,0.116906,0.983086,0.533848,0.228522,-0.114299,0.291733,-0.371192,-0.356384,-0.389533,0.714816,1.93141,0.253365,0.0749843,0.140398,-0.0462883,-0.335434,0.834169,-0.292125
LOPAC 00269,-1.32319,-1.26744,-1.82808,-0.775054,0.389081,-0.0185544,-1.03443,-2.23824,-0.651105,-1.56987,-0.221236,-0.347487,0.461198,-0.984069,-1.22965,-0.794236,-0.51802,-1.83753,-1.11293,-1.60973,-0.565415,-0.908567,-0.533009,-0.173624,-1.29623,0.473377,-0.484811
LOPAC 00270,-45.6178,-2.06137,-23.1004,-15.0391,-29.2775,-10.2184,-36.8003,-36.2259,-28.7539,-37.6499,-8.02964,-3.08508,-2.11905,-1.62367,-1.11814,-37.4965,-0.942631,-1.74117,-18.0351,-23.8135,-4.54344,-1.6131,-8.82963,-2.18627,-1.26952,-23.3165,-0.868656
LOPAC 00271,1.10307,0.0618175,1.28865,0.168793,0.204528,-1.23795,1.12004,-0.372051,2.76289,1.05666,-1.93117,-1.09334,-0.394969,-1.35562,-1.66707,2.14812,-1.31954,0.105624,1.57846,0.0391495,-0.438652,-2.1745,2.68962,-1.24246,0.117128,1.50024,-1.77308
LOPAC 00272,0.768384,-0.223774,-0.0836458,0.223343,0.151178,1.0135,0.435076,-0.0836607,-0.241576,0.600682,-0.258494,0.956929,-1.60044,0.0952185,0.151582,0.604011,0.753425,0.0668714,0.526134,-0.551433,0.139522,0.666615,0.306952,-0.107476,-0.0310326,-0.796929,-0.237359
LOPAC 00273,-0.225831,0.886716,-0.958973,-0.562626,-0.365774,0.359953,-1.4863,-0.14469,-1.7911,-1.24358,-0.0654132,0.234607,0.67038,1.83523,0.157284,-2.26763,0.755163,0.306417,-0.911969,-1.16477,-0.691946,1.15701,0.609448,0.690746,0.758718,-0.973506,-0.288303
LOPAC 00274,0.524273,-0.356317,-0.155993,-0.0453178,1.00424,0.581104,-0.168419,0.298214,-0.573585,-0.0957116,-0.413953,-0.02021,-0.161499,0.573862,-0.296687,-0.0241641,0.846331,-0.30889,-0.133689,-0.620522,0.435136,0.212609,0.772296,0.549286,0.266137,0.293516,0.387577
LOPAC 00275,-6.76811,0.790215,-4.91439,-4.64999,-5.23791,-7.21949,-9.50658,-12.6759,-14.325,-8.71487,-1.89439,-3.68106,-0.125249,-1.70993,2.41095,-13.4473,-6.00456,-0.242339,-5.01057,-24.777,3.02528,2.52758,-3.29361,2.26055,-0.641591,-37.4927,2.39311
LOPAC 00276,0.663134,0.291286,0.275693,0.274911,-0.3378,0.496381,-0.897441,0.850182,-0.191023,0.339252,0.00805228,1.12372,-0.356659,0.351477,1.83738,0.230977,1.05519,0.406473,0.049182,0.912273,-0.179981,-0.0680769,1.05838,0.446742,0.255767,-0.132734,0.37696
LOPAC 00277,0.51095,0.00702692,-0.750618,0.0511712,-0.398212,-0.380047,-0.290283,-2.05857,-1.14312,0.484183,-0.396768,0.597272,-0.939786,0.280115,-0.13316,-0.0379771,0.321104,-0.432107,-0.268814,0.127877,0.655878,1.00502,-2.20393,0.63478,-0.0911225,-0.814446,0.260965
LOPAC 00278,-1.18045,-1.01078,-2.40626,-1.68218,-0.735733,-0.312881,-0.754764,-3.22638,-3.08564,-1.91594,-0.0369445,-2.44542,-0.771935,-0.621012,-0.891917,-1.2587,-0.196521,-1.51077,-3.98167,-2.82516,0.54613,0.510942,0.0338609,0.761332,-1.84624,-1.43144,-0.0105227
LOPAC 00279,-0.327937,-0.213636,-0.217267,-0.819777,-1.7003,-0.724428,-3.34592,-0.550068,-3.25469,-0.54866,-0.0798792,-0.107111,-0.29552,0.59238,-0.531738,-0.622172,0.163401,-1.17577,-1.70644,0.240465,-0.26338,-0.475226,-0.438948,0.461248,0.451583,-2.69727,-0.00959904
LOPAC 00282,-0.0839682,-0.390299,-0.419861,-0.217214,-0.861025,-0.159784,-0.898436,-0.612206,-0.351204,-0.299916,-1.13778,-0.204018,-1.97025,0.245429,-0.0590266,-0.1056,-0.133249,-0.112096,-0.800506,0.170602,0.385001,-0.00966769,1.13298,-0.795463,0.4964,-0.962565,-1.27825
LOPAC 00283,0.666182,0.746036,-0.144642,0.698705,0.243664,-0.184794,0.933245,1.22963,1.9929,-1.50967,0.679387,0.873356,0.69186,0.586012,0.480321,-2.81287,0.934451,1.12964,0.944004,-1.35429,-0.0209548,1.10835,-0.896734,0.661022,0.396869,0.52466,0.700462
LOPAC 00284,0.214176,-0.147345,0.376374,-0.248702,-1.23332,-0.364234,-0.0815918,0.0920771,0.259378,-0.00298562,-1.44598,0.361986,0.0295117,5.56044,1.26311,-0.741751,0.520695,0.172751,-0.274523,-0.386942,1.98156,3.0288,2.49382,2.2252,0.323806,-0.2207,3.07242
LOPAC 00285,-2.4597,0.44984,-1.63227,-0.686295,0.726437,-2.92601,-0.718293,-0.945049,-1.97108,-3.08661,-0.0224995,-0.266689,-0.347618,0.50808,0.0511392,-2.3349,-1.297,-0.512305,-0.0532919,-5.95835,1.504,0.196239,-3.44549,-0.267791,-1.64782,0.720061,0.99873
LOPAC 00287,-2.33318,0.770998,-3.29711,-3.54344,-3.55316,-2.69419,-8.32287,-4.9576,-3.32982,-1.50495,-2.02662,-1.86278,-2.37622,-16.3242,0.630672,-7.63219,-0.520485,-0.324966,-3.38595,-6.52931,-0.490985,-0.0614993,-0.658322,2.07576,0.126858,-5.06976,1.45616
LOPAC 00288,-1.16923,-0.300727,-1.0316,0.721291,-0.0485471,-0.0400147,0.280081,-0.520706,-0.240678,-0.813759,-0.816768,-1.01572,0.452628,-0.16503,-0.0282149,-0.850447,-0.762391,-1.51462,-1.79059,-0.245666,3.26582,-0.493706,-0.303538,-0.132324,-1.44466,-1.29766,0.292281
LOPAC 00289,0.183989,-0.0454086,0.553557,0.784807,0.2978,0.103696,0.816878,0.419112,-0.0711346,0.399123,0.679771,0.342477,0.265866,-0.176857,0.561756,0.487644,0.881076,0.645806,0.67291,0.537219,-0.952191,0.262473,-0.0125556,0.286977,0.632508,0.0734652,1.12172
LOPAC 00290,-0.62467,2.72381,-1.36896,-2.95702,-0.505882,-1.57249,-3.29089,-1.89257,-2.74469,-2.11518,0.373594,0.375367,0.905981,-1.48232,-1.44438,-2.19342,-1.11808,-0.388435,-0.341752,-6.85245,1.20271,-1.00385,-2.27274,0.13014,-0.0513686,-4.16782,-0.614128
LOPAC 00291,0.422123,-0.734069,0.274962,0.631965,0.493495,-0.0524634,0.537988,0.5755,0.042912,0.38388,0.134462,-0.690185,0.348187,0.0365684,-0.256542,0.578977,0.665416,0.190588,0.559321,0.568986,0.901917,0.712388,-0.0400016,0.229238,0.523306,0.576159,0.48975
LOPAC 00292,-0.0405244,0.512822,0.0760155,0.194707,1.44135,0.217738,0.0849808,-0.469105,0.538973,0.327562,-0.0198154,0.249835,-0.753085,0.644207,0.538351,0.0108139,0.635293,-0.547236,-0.459614,0.220801,-0.111586,0.652473,1.00789,0.317549,-0.00974112,-0.474462,0.472264
LOPAC 00293,-0.715208,-0.361451,-0.603985,-1.14643,-0.33087,-0.365994,-0.252322,-0.935827,-0.592376,-0.784576,0.749758,0.0198252,0.654912,-1.04422,0.406398,0.313358,-0.867769,-0.0238718,0.177193,-0.388554,-0.509922,-0.605009,-0.504339,-0.0822028,0.305321,0.105024,-0.089231
LOPAC 00294,-11.4983,0.136733,-4.79256,-3.2041,0.42776,-8.85353,-5.52693,-4.58539,-2.6645,-13.5647,-0.979042,2.0595,-0.468514,-3.34857,1.55729,-1.40596,-0.538593,-1.55953,-4.61571,-22.8596,3.61617,-0.45703,-9.97509,1.59572,-1.12649,-4.34626,0.587987
LOPAC 00295,0.225351,1.35513,0.717231,0.4029,-0.251844,0.451143,1.87285,0.609657,1.20907,0.614106,0.763593,0.388926,0.145222,-0.0356159,0.256438,1.02092,-0.0132634,0.478721,0.829939,1.17925,-0.0706291,0.415249,0.521605,0.126106,0.326118,0.904817,0.0678396
LOPAC 00296,0.287963,1.02631,-0.189617,-0.313087,-0.0349262,-3.15423,-0.35841,0.04633,0.166785,0.400982,-1.23934,0.768224,-1.82883,4.22638,6.12118,0.235526,-0.802002,-0.290838,0.485442,0.187267,4.42898,3.67933,-3.71014,3.45324,-0.51548,0.251284,0.579926
LOPAC 00297,0.584205,0.0238065,-0.720923,0.824977,-0.404506,3.21002,-0.492553,0.0426673,-0.193497,-0.081951,-1.23595,0.108631,-1.19961,-0.307192,-0.537351,0.244577,0.610476,-0.597128,0.0734888,0.0816078,0.262717,0.204887,0.114519,-0.153252,0.0484358,0.305838,0.247204
LOPAC 00299,-0.0487435,0.713358,-0.320645,0.602383,-0.140322,-0.855566,0.13178,0.127756,-0.940321,0.120483,-1.17148,0.119056,0.640993,0.215018,0.143905,0.0513256,-0.00330333,0.120781,-0.204635,-0.314801,0.0690794,-11.8459,0.533676,0.503593,0.274636,-37.5999,0.439845
LOPAC 00300,-0.414254,-1.00028,1.09498,-3.25376,1.40679,-3.10228,0.617187,0.656005,0.892126,-0.298654,-2.52448,-2.65393,-1.6886,-0.745376,-0.0174193,-0.0690456,-0.878704,1.35638,-1.1946,0.589825,-3.23884,-0.971885,-10.6336,-0.558611,-0.0814354,-0.0859675,-0.0753128
LOPAC 00301,0.343873,0.13504,-0.904485,-0.369128,-0.0548123,-0.0188307,-1.85585,-0.943162,0.345943,-0.156474,-0.112914,0.472841,-0.318431,0.766989,0.561911,-0.198182,0.579895,-0.42883,0.425875,-1.16857,0.703776,0.508023,0.684861,0.379578,-0.248362,-0.1464,3.61958
LOPAC 00302,0.201121,3.18687,-0.769448,0.950366,-0.906796,-0.437836,-0.296867,0.13301,-0.336431,0.064135,0.429225,0.0631147,-0.334829,0.869976,-0.520875,-0.0925814,0.297639,-0.469772,0.254605,-0.568637,0.272199,0.0862145,0.491121,-0.163439,-0.1725,0.216698,-0.370011
LOPAC 00303,0.133554,0.592216,-0.429777,0.414323,-0.735767,2.95111,0.119801,0.395986,-0.379434,0.304881,-0.193926,1.08954,-0.00193483,0.197845,0.303066,0.251635,0.587059,-0.511458,0.541281,-0.774009,0.646124,0.938769,0.477088,-0.0564067,-0.202363,0.934812,0.53531
LOPAC 00304,0.00103671,0.45634,0.944655,-0.0519781,-0.243698,2.22112,0.686759,-0.0405546,0.518014,0.557678,-0.381855,-0.0924926,-0.358177,0.992941,1.00983,0.599576,0.867863,0.276225,0.0641978,0.380334,0.271593,0.266062,0.429702,0.182888,0.406072,-0.0428775,0.302465
LOPAC 00305,0.32147,0.50612,-0.0875138,-0.382269,1.16554,0.336262,-0.491732,0.149255,-0.584793,0.535128,0.12025,0.22586,1.16057,0.471551,0.228834,0.216173,0.114962,0.36738,0.661288,0.129002,0.952321,0.239457,0.0987723,0.161,0.240548,-0.139648,0.209247
LOPAC 00306,-0.339856,0.351002,0.314344,0.850615,0.0836434,0.15263,1.03903,0.795547,-0.141551,0.0863919,1.41177,0.445082,-0.239158,0.553718,-0.0844313,0.317887,0.856493,0.553104,0.336963,0.456929,1.09212,0.503844,0.472902,1.3636,0.645656,0.512635,1.39892
LOPAC 00307,0.762418,0.227595,0.546066,0.467431,0.350202,-0.282399,0.443285,0.498306,1.15264,0.891691,-1.43412,0.821998,-0.741486,0.125659,-0.185151,0.666393,0.0439905,0.545724,0.0924149,0.820359,-1.6965,0.00304779,0.219894,-0.906983,0.557354,-0.368687,-0.0996144
LOPAC 00308,-0.519439,-1.5903,-1.13973,-1.19008,0.996272,0.859815,-1.31067,-1.08907,-0.229726,-1.17256,2.42967,-1.45855,1.09394,-1.01512,-1.43385,-0.854007,-0.0461313,-1.69695,-0.220227,-1.16713,-0.222619,-0.908121,-1.08057,0.168678,-1.3939,-0.224322,-0.498007
LOPAC 00309,-1.40468,-0.52086,-1.29383,-0.694213,-0.556088,-0.783522,-5.7393,-0.827774,-14.7423,-1.03287,0.335989,1.15824,1.77002,1.1856,-1.00235,-4.62491,-0.232054,0.704493,-1.87335,-6.00424,1.03715,0.469607,0.418765,1.01534,-0.590075,-4.56409,1.76213
LOPAC 00310,0.747952,0.0598828,0.00038852,0.284714,0.363326,0.955754,0.400401,0.483276,-0.182054,0.614809,-0.247008,-0.47069,0.923427,0.171412,-0.024915,0.900943,0.518653,0.525083,1.33748,0.0653656,0.333526,0.0975091,0.637179,0.469988,2.2115,1.30438,0.250111
LOPAC 00311,-0.280975,1.99674,-2.05716,-0.193985,0.0638567,0.167011,-3.50901,-1.43557,-6.16321,-1.55179,-1.03821,0.224564,-0.388265,0.822355,0.830628,-2.54225,0.357054,0.0893545,0.013677,-2.26282,0.710652,0.740467,0.601044,0.490757,1.11978,0.293414,0.187381
LOPAC 00312,-1.02359,-1.90404,-1.74676,-0.345383,-0.762549,-0.336394,-1.32846,-0.781536,-1.05548,-0.652517,-1.35746,-1.19127,0.0599469,-0.225219,-0.407963,-0.30072,-1.33084,-1.56872,-0.970431,-0.120744,-0.691113,-0.04501,-5.83902,0.252453,-1.0006,-1.69693,-0.3901
LOPAC 00313,0.0974268,3.03811,-0.169766,0.268415,0.270513,0.206442,0.402691,-0.161196,-0.119381,-1.27768,0.0594035,0.0506648,-0.799286,-0.239957,-0.250048,-1.34297,0.136204,-0.00675357,-0.208575,-0.677768,-0.528527,0.241518,-1.40135,-0.0059076,0.0511617,-0.481862,-0.580862
LOPAC 00314,0.779561,3.57492,1.3638,0.306521,0.915418,0.0941098,0.172367,0.230751,0.826385,0.488409,-0.21031,0.505999,-0.152125,0.614888,0.696504,-0.0061822,-0.332182,0.663736,1.00489,-0.333569,0.76223,0.347581,-0.298017,0.0891429,0.786055,0.0773261,-0.215104
LOPAC 00315,-4.71132,0.766045,-3.19645,-4.17297,-0.298296,-7.62782,-1.88121,-11.2204,-2.49746,-3.88948,-0.47886,0.462801,0.636237,0.131468,2.83673,-3.21198,-6.547,0.237414,-1.38482,-17.0347,3.4429,0.259745,-5.26805,3.47946,1.39817,-2.60683,3.22847
LOPAC 00316,-0.0968882,-0.640455,0.184924,0.927252,-0.207422,-0.236454,-0.0112642,0.505487,-0.430746,0.198172,0.178562,0.452508,0.109391,0.400057,-0.762693,0.278988,-0.717829,0.175495,0.00362744,-0.0312032,-0.0379271,-24.3952,0.199403,-0.03689,0.318043,0.409189,-0.242678
LOPAC 00317,-2.42647,0.224332,-6.91027,-4.61657,-8.72096,-0.631161,-8.98592,-5.04127,-6.97714,-1.91326,-0.913339,-1.53041,-0.220991,-6.52477,1.60971,-7.72921,-0.664225,0.139084,-4.51722,-9.07958,4.22646,1.71193,1.2755,2.53964,0.277211,-4.96449,6.77607
LOPAC 00318,-0.22553,-0.0990304,-1.09716,-0.509034,-0.0651425,0.546809,-0.319953,-1.42268,-0.368815,0.16841,-0.483401,0.611865,-0.967841,1.31035,1.15866,-0.0252839,0.673055,-0.16082,0.0303864,-0.286598,3.13221,0.765615,1.50367,1.03715,0.5496,0.496519,1.6658
LOPAC 00319,-2.43532,-0.368313,-7.39349,-4.0589,-7.27891,-8.94148,-9.93882,-4.57857,-11.9586,-2.19585,-7.40559,-1.16319,-0.413273,7.20505,3.28352,-4.26349,-1.98519,0.225606,-4.54374,-25.2975,1.87314,2.85546,-7.64454,0.729481,-0.515684,-2.96313,5.64437
LOPAC 00320,-2.10823,2.57075,-5.59618,-3.33741,-0.903197,-8.66215,-8.35434,-6.58793,-7.95346,-0.593954,-3.06953,-4.36356,-0.867413,3.15535,0.458067,-1.8013,0.355692,0.494549,-3.788,-24.3209,-0.223285,1.48369,-6.79973,0.734405,0.325504,-3.06963,5.5388
LOPAC 00322,1.01559,-0.591973,0.736342,0.0312604,1.23195,-0.485671,0.44149,0.312052,0.0522244,0.208462,0.454529,-0.63382,1.91177,-0.448423,-1.47899,-0.317545,-1.2994,-0.14106,0.172307,-0.267535,0.305872,-0.327569,-0.680859,-0.412299,-0.564542,-1.08333,0.339028
LOPAC 00323,-0.5329,1.58952,-1.60045,-0.763642,-0.22656,0.33333,-1.07189,-1.96007,-0.441682,-0.822835,-0.884058,-0.756932,0.186381,0.738118,1.46331,0.198032,-0.223511,-1.28324,-0.736413,-0.918451,-1.31167,-0.799084,-0.17597,-0.0779298,-1.22678,0.0148868,-0.368362
